merged_term	DW0 (Transposit)	narGloss	old1_term	match_type	review_flag	PIE Root	PIE 0	BVS!	DW0 (Actual)	DW1-F	DW1-B	DE	D2	pos	List(s)	CIGBS	Sem.	narEty	narDer	narAttest	narDisc	narNomRoot	narNomDer	conRoot class	conRootUltimate	conDeriv	conEty:	conPlan:	PIE	PIt	PC	PGm	PBl	PSl	Gr.	EDB	AD	dedup_notes	intake_bucket	intake_reason	best_current_id	best_current_lemma	best_current_gloss	best_current_status	best_match_score	top_current_matches	parsed_new_terms	parsed_new_glosses	pos_coarse
-((i)t)amos	-((i)t)amos	superlative adjectival suffiɣ	-((i)t)amos	dw0				FALSE						?																									probable_new_entry	no_match							-itamos	superlative adjectival suffiɣ	
-(i)tā	*-(i)tā			old2_only		*-(i)teh₂		FALSE		-(i)tā																													probable_new_entry	no_match							-itā		
-āks	-āks			old2_only		*-eh₂-k-s		FALSE		-āks																													probable_new_entry	no_match							-āks		
-āsios	-āsios	Forms relational adjectives to nouns; neut. form	-āsios	dw0				FALSE						?				From EAD.							PIE														probable_new_entry	no_match							-āsios	forms relational adjectives to nouns; neut. form	
-ātos	-ātos	Creates denominative possessional or qualitiative adjectives.		old2_only		*-eh₂tos		FALSE		-ātos																													probable_new_entry	no_match							-ātos	creates denominative possessional; qualitiative adjectives	
-ðōts	-ðōts	"de-nominal and de-adjectival agentive suffiɣ, ‘-doer’"	-ðōts	gloss	REVIEW:gloss-match	*dʰéh₁-	*dʰóh₁-t-s	FALSE		"-ðōts, -ðōts, -sōts"	"-ðōts, -ðōts, -sōts"			n. c m/f.				From EAD.																				old-1 form was '-ðōts'	probable_new_entry	low_match	345	duzviros	"ne'er-do-well, bumpkin; criminal, villain, evil-doer"	canonical	1.37	"345:duzviros:ne'er-do-well, bumpkin; criminal, villain, evil-doer (1.37)"	-ðōts	"de-nominal and de-adjectival agentive suffiɣ, -doer"	noun
-ɣis	-ɣis	"‘-thrower, -slinger’"	-ɣis	dw0				FALSE										Since OD.																					probable_new_entry	no_match							-ɣis	"-thrower, -slinger"	
-īnos	-īnos		-īnos	dw0		*-ihₓnos ~ *-ihₓnosi̯o		FALSE																															probable_new_entry	no_match							-īnos		
"-man, -mens"	"-man, -mens"	Creates abstract nouns of concept or result from verbs.	"-man, -mens"	dw0				FALSE						?																									probable_new_entry	no_match							-man; -mens	creates abstract nouns of concept; result from verbs	
"-mēn, -menes"	"-mēn, -menes"	Creates agent nouns from verbs.	"-mēn, -menes"	dw0				FALSE						?																									probable_new_entry	no_match							-mēn; -menes	creates agent nouns from verbs	
-ments	-ments	‘-minded’		old2_only				FALSE		-ments									"ðubraments ‘deep-minded, thoughtful’"																				probable_new_entry	no_match							-ments	-minded	
"-mō, -monam, -(m)nes"	"-mō, -monam, -(m)nes"	Creates agent nouns from verbs.	"-mō, -monam, -(m)nes"	dw0				FALSE						?				From EAD.																					probable_new_entry	no_match							-mō; -monam; -mnes	creates agent nouns from verbs	
-ōks	-ōks		-ōks	dw0				FALSE						?																									probable_new_entry	no_match							-ōks		
-tā			-tā	old1_only	REVIEW:old1-only									n. a f.																									probable_new_entry	no_match							-tā		noun
-tāts	-tāts		-tāts	dw0				FALSE						n. c f.											PIE *-teh₂ts														probable_new_entry	no_match							-tāts		noun
-tos	-tos	Creates deverbal adjectives.; Creates verbal adjectives	-tos	exact		*(Ø)-tós ~ *(Ø)-tósi̯o		FALSE		-tos				?																									probable_new_entry	no_match							-tos	creates deverbal adjectives; creates verbal adjectives	
-tūts	-tūts		-tūts	dw0				FALSE						n. c f.											PIE *-tuhₓts														probable_new_entry	no_match							-tūts		noun
-vos	-vos		-vos	dw0				FALSE						?																									probable_new_entry	no_match							-vos		
!	!	‘guts’	!	dw0				FALSE						?	S-207																								probable_merge	gloss_exact	82	ɣórnā	guts	canonical	6.50	"82:ɣórnā:guts (6.50) | 70:ɣarā́:guts; fortitude, health (5.17)"	!	guts	
!	!	‘turnip’		old2_only				FALSE						?			agric.	"!From D1 rap-, from D0 rap-"																					probable_new_entry	no_match							!	turnip	
"!gāvōn, -s"	"!gāvōn, -s"	"‘workforce, the working class; slavery or state of subjugation’"	"!gāvōn, -s"	dw0				FALSE						n. n n.				"From EAD gaavoor, gaavoons with leveling of the obl. root into the direct cases complete by OD."									vathek												probable_new_entry	no_match							!gāvōn; -s	"workforce, the working class; slavery; state of subjugation"	noun
"!gnōman,"		"‘knowledge, eɣperience’"	"!gnōman,"	old1_only	REVIEW:old1-only									n. c n.				"!From D0 gnooman, a derivation with -man from gno, ‘to know’."																					probable_new_entry	no_match							"!gnōman,"	"knowledge, eɣperience"	noun
adk	adk	‘laurel’	adk	dw0				FALSE						n. a f.			flora	From EAD.									"PIt. *lau(χ)-ro-, “ *dakʷʰ-nā- and *daukʰ-nā-”   dakʷʰ, daukʰ, lau(χ)"												probable_new_entry	no_match							adk	laurel	noun
akmela	akmela	‘hops’	akmela	dw0				FALSE						n. a f.			flora	Since OD.				kum-el- or ku-mel- ?			wanderwort		From Pre-Proto-Germanic per *humelan- EDPG 255 < **kumelo- vel sim from a widely-spread wanderwort.												probable_new_entry	no_match							akmela	hops	noun
akmina	akmina	‘cumin’	akmina	dw0				FALSE						n. o n.			flora	Since OD.	cumnom?			kum-in or ku-min- ?																	probable_new_entry	no_match							akmina	cumin	noun
akros	akros	‘sharp’	akros	exact		*h₂eḱ-	*h₂eḱ-r-ós ~ *h₂eḱ-r-ósio	FALSE		"akros, -om, -ā"		aśruz		adj. a/o		"PIt, PK, PBS"		From EAD.				ak-r																	probable_merge	gloss_exact	10	akús	sharp	canonical	7.50	10:akús:sharp (7.50)	akros	sharp	adj
aksīa	aksīa	‘aɣe’	aksīa	dw0				FALSE						n. a f.				From EAD.				ak-					"Wanderwort per EDL PIt. *h₂eskʷ-ieh₂- and EDPG *h₂egʷ-is-ih₂- or *agwesī-, Gr. *h₂egʷ-si-."	assi < aksi		EDL 59: ascia < *aks-/ask-.	—	*akwesī- < *h₂egʷis-ieh₂-							probable_new_entry	no_match							aksīa	aɣe	noun
akvis	akvis	‘sharp’	akvis	exact				FALSE		"akvis, -i"				adj. i					ak-w-is																				probable_merge	gloss_exact	10	akús	sharp	canonical	7.50	10:akús:sharp (7.50)	akvis	sharp	adj
alaiva	alaiva	‘lark’	alaiva	dw0				FALSE						n. a f.			fauna	From EAD.							wanderwort		Eur. subs. *alaw- ~ *alaiw- ‘lark’			alauda from Gaul.	alawda	"laiwaz, gen. laiwizaz"	laiw- ~ alaw?	laiw- ~ alaw?		"allauda, llaudeta, egazabal"			probable_new_entry	no_match							alaiva	lark	noun
"aliks, alikos"	"aliks, alikos"	‘emmer groats’	"aliks, alikos"	dw0				FALSE						n. c f.			agric.	From EAD.				lik-								"EDL 33: alica “The form and meaning are almost the same as in Gr. ἄλιξ, -κος […] a word of unknown etymology.” EDG 69: ἄλιξ “The nature of the connection with Lat. alica is unknown. A loanword from an unknown language.”"									probable_new_entry	no_match							aliks; alikos	emmer groats	noun
alinna	alinna	‘alder’	alinna	dw0				FALSE						n. a f.		•IGBS	flora	From EAD alisnaa.							Likely wanderwort borrowing into IE dialects.		IELF 110	"alīna, alinna > alna?"		alsnos > Lat. alnus	werno- < PIE(?) werno-	aliso ~ alizō ~ aluz	"alksnis < a/elisaʕ, a/el(i)nio-"	"alisaʔ, elisaʔ, al(i)snio, el(i)snio"					probable_merge	partial_gloss	12	álizos	alder (tree)	canonical	3.25	12:álizos:alder (tree) (3.25)	alinna	alder	noun
alliom	alliom	‘garlic’	alliom	dw0				FALSE						n. o n.			flora	From EAD adliom and agliom. implying a borrowing after intensive contact with the donor language (vs. wanderwort with a single form).				"adl- ~ agl- < 
a-dVl- ~ a-gVl- ?"								EDL 33: ālium > allium. Kroonen JIES 40: Borrowing of Pre-Greek adl-ĩd- possible.									probable_new_entry	no_match							alliom	garlic	noun
alma	alma	‘elm (tree)’	alma	dw0				FALSE						n. a f.			flora	From LAD.				alm- < a-lVm- ?							borrowing	EDL 637: ulma < *e/olmo-.									probable_new_entry	low_match	116	kalnós	holly (tree)	unresolved	1.92	116:kalnós:holly (tree) (1.92) | 12:álizos:alder (tree) (1.92) | 137:kozlos:hazel (tree) (1.92) | 239:salikā:willow (tree) (1.92) | 322:βergós:birch (tree) (1.92)	alma	elm (tree)	noun
alsika	alsika	‘larch (tree)’	alsika	dw0				FALSE						n. c f.			flora	From EAD.				lVs : a-lVs-ik-																	probable_new_entry	low_match	116	kalnós	holly (tree)	unresolved	1.92	116:kalnós:holly (tree) (1.92) | 12:álizos:alder (tree) (1.92) | 137:kozlos:hazel (tree) (1.92) | 239:salikā:willow (tree) (1.92) | 322:βergós:birch (tree) (1.92)	alsika	larch (tree)	noun
ampinðā	anpinðā	‘catnip’	ampinða	gloss	REVIEW:gloss-match	**nep-	**h₂e-n(e)p-indʰ-	FALSE	ampinðā	ampinðā	ampinðā	—		n. a f.			flora	From LAD.				a-nep-inð-					"Pre-Greek per EDG 1,010 νέπετος < *νεπετα transformed by a-prefiɣing as proposed by Beekes, Kroonenm, et al."											old-1 form was 'ampinða'	probable_new_entry	no_match							ampinðā; ampinða	catnip	noun
andrea		"‘woman of status, lady’"	andrea	old1_only	REVIEW:old1-only									n. a f.				From LAD.				a(n)-dre-					"Vasconic per EDB 93: andere, ‘id’."												probable_merge	partial_gloss	95	gvénā	woman	canonical	2.58	95:gvénā:woman (2.58) | 96:gvénī:lady (woman of moral or social standing) (2.00) | 149:leuðertā:freed-woman (1.67)	andrea	"woman of status, lady"	noun
atnos	atnos	‘year’	atnos	exact		h₂ét-nos		FALSE		atnos	atnos	atnos		n. o m.	"S-207, SY"	"PIt, PGm"		From EAD.				at-no-s or atn-os ?					Cognates in PIt and PGer.												probable_merge	gloss_exact	307	vétos	year	canonical	7.50	307:vétos:year (7.50)	atnos	year	noun
austeros	austeros	‘east’	austeros	dw0				FALSE						n. o m.																									probable_new_entry	no_match							austeros	east	noun
Auzana	Auzana	‘goddess of dawn and the vernal equinoɣ’	Auzana	dw0				FALSE						n. a f.				"Since LAD, probably from a stem ausan- remade from EAD avsar, avsens."																					probable_merge	partial_gloss	36	déivī	goddess	canonical	2.38	"36:déivī:goddess (2.38) | 403:ɣémī:feminine personification of earth, earth-goddess (1.41)"	auzana	goddess of dawn and the vernal equinoɣ	noun
aveks	aveks	‘straw; dry plant stalks’	aveks	dw0				FALSE						n. c m.				From LAD.												EDL 64: avēna < *aweksnā-.									probable_new_entry	low_match	274	tarzús	dry	canonical	0.88	274:tarzús:dry (0.88)	aveks	straw; dry plant stalks	noun
aβlekā	aβlekā	‘fern’	piklis	gloss	REVIEW:gloss-match	**bʰel-	**h₂e-bʰ(e)l-ek-eh₂	FALSE		"aβlekā, -ās"	afleka	ableka		n. a f.				Since OD. cf. piliks.																				old-1 form was 'piklis'	probable_new_entry	no_match							aβlekā; piklis	fern	noun
aβsekā	aβsekā	"‘cart, wagon, chariot’"	kveklā	gloss	REVIEW:gloss-match	**bʰes-	**h₂e-bʰ(e)s-ek-eh₂	FALSE		"aβsekā, -ās"	afseka	—		n. a f.				Since OD.				kwel-(e)l- ?																old-1 form was 'kveklā'	probable_new_entry	no_match							aβsekā; kveklā	"cart, wagon, chariot"	noun
bokvis	bokvis	"‘stump (of a tree, severed limb, or similar)’"	bokvis	dw0				FALSE						n. i m.				Since OD.																					probable_new_entry	low_match	116	kalnós	holly (tree)	unresolved	1.43	116:kalnós:holly (tree) (1.43) | 12:álizos:alder (tree) (1.43) | 137:kozlos:hazel (tree) (1.43) | 239:salikā:willow (tree) (1.43) | 322:βergós:birch (tree) (1.43)	bokvis	"stump (of a tree, severed limb; similar)"	noun
ðamelom	ðamelom	"‘fundament, eɣistence’"	ðamelom	gloss	REVIEW:gloss-match			FALSE						n. o n.				From EAD đamelom.				đē- ~ đō- ~ đa-						ðamelom > ðamlom > ðallom ?		familia								old-1 form was 'ðamelom'	probable_new_entry	no_match							ðamelom	"fundament, eɣistence"	noun
