normalized_occurrence_id	source_id	form_raw	normalized_form	search_key	script	form_type	language_guess	language_normalized	gloss_or_translation	gloss_normalized	printed_page	pdf_page	section_or_chapter	source_pattern	quality_flags	context	resolution_status	resolution_action	include_in_unique	human_collation_note
WATKINS-NFORM-00001	WATKINS-FORM-02278	heeding not his word but that	heeding not his word but that	heeding not his word but that	latin-script	attested_or_cited_form	Akkadian	Akkadian	of his mother, the snake	of his mother, the snake	371	388	37. Expansion of the formula: A recursive formulaic figure	form_plus_single_quote_gloss		tawny-eyed dragon slew in his sleep, a sign of the slaughter to come. ``` 1. There are older precedents. The dying king Hattusilis I disinherits his son for heeding not his word but that 'of his mother, the snake', annas-sas MUS[-os] HAB ii 10 (Akkadian AMA-SU $A MUS), repeating ten lines later 'his mother is a snake!' annas-sis MUS-as ii 20. As noted by Sommer in his and Fa	not-suspect		true	
WATKINS-NFORM-00002	WATKINS-FORM-02279	repeating ten lines later	repeating ten lines later	repeating ten lines later	latin-script	attested_or_cited_form	Akkadian	Akkadian	his mother is a snake!	his mother is a snake!	371	388	37. Expansion of the formula: A recursive formulaic figure	form_plus_single_quote_gloss		er precedents. The dying king Hattusilis I disinherits his son for heeding not his word but that 'of his mother, the snake', annas-sas MUS[-os] HAB ii 10 (Akkadian AMA-SU $A MUS), repeating ten lines later 'his mother is a snake!' annas-sis MUS-as ii 20. As noted by Sommer in his and Falkenstein's classic edition (1938), the old king held to the metaphor: KBo 3.27 = BoTU 10p 25-27 (Edict, CTH 5) '	not-suspect		true	
WATKINS-NFORM-00003	WATKINS-FORM-02062	adding	adding	adding	latin-script	attested_or_cited_form	Armenian	Armenian	—beads on a string of course	—beads on a string of course	251	268	23. More Strophic structures	form_plus_single_quote_gloss		', Hutter 27. 12. J.R. Russell (p.c.) ingeniously compares the old Armenian proverb quoted by Movses Xorenac'i (1.13) ulunk' Samiramay i cov 'the beads of Semiramis into the sea', adding '—beads on a string of course'. <!-- pdf-page: 269; printed-page: 252 --> songs... or... string poems..,' 13 The same pre-Christian thematic and formulaic tradition continued intact down to modern times, for the	not-suspect		true	
WATKINS-NFORM-00004	WATKINS-FORM-02264	his epithet	his epithet	his epithet	latin-script	attested_or_cited_form	Armenian	Armenian	from the earth, chthonic	from the earth, chthonic	363	380	36. The myth in Greece: Variations on the formula and theme	form_plus_single_quote_gloss		sired... like a murderous giant... ``` ```text The name contains serpent', another inherited designation (*eghi-, Armenian iz 'serpent'); his epithet 'from the earth, chthonic' rhymes with 8 ``` 991-6 ```text Go, Justice... smiting through the throat of the godless, lawless, unrighteous s	not-suspect		true	
WATKINS-NFORM-00005	WATKINS-FORM-02061	Samiramay i cov	Samiramay i cov	samiramay i cov	latin-script	attested_or_cited_form	Armenian	Armenian	the beads of Semiramis into the sea	the beads of Semiramis into the sea	251	268	23. More Strophic structures	form_plus_single_quote_gloss		"U-as hultaramman) 'the ""unclean-sickness"" of the throat', Hutter 27. 12. J.R. Russell (p.c.) ingeniously compares the old Armenian proverb quoted by Movses Xorenac'i (1.13) ulunk' Samiramay i cov 'the beads of Semiramis into the sea', adding '—beads on a string of course'. <!-- pdf-page: 269; printed-page: 252 --> songs... or... string poems..,' 13 The same pre-Christian thematic and formulaic t"	not-suspect		true	
WATKINS-NFORM-00006	WATKINS-FORM-02153	...			symbolic/unknown	attested_or_cited_form	Hittite	Avestan/Old Iranian	pillar of Troy	pillar of Troy	320	337	29. The root *gʷhen-: Avestan jan-	form_plus_single_quote_gloss		and Renou 1934:34-5, 69, 73, and Gcrshevitch 1959:219. 16. The interpretation of stija is controversial. For discussion see Kellens 1974:84. 17. Cf. Watkins 1990:52-5, and Hektor;... 'pillar of Troy' in the preceding chapter. ## 30. The root *gʷhen-: Hittite kuen- and the Indo-European theme and formula <!-- pdf-page: 338; printed-page: 321 --> The root *gʷhen-: Hittite kuen- and the Indo-E	resolved	excluded-ellipsis-or-ocr-dropout	false	Ellipsis/dropout is not a lexical form.
WATKINS-NFORM-00007	WATKINS-FORM-01853	a simile the phrase arcui srafew	a simile the phrase arcui srafew	a simile the phrase arcui srafew	latin-script	attested_or_cited_form	Armenian	Avestan/Old Iranian	sharp-winged eagle	sharp-winged eagle	170	187	14. A late Indo-European traditional epithet	form_plus_single_quote_gloss		late Indo-European traditional epithet In one of the few fragments of pre-Christian Armenian oral epic poetry (the text is quoted in chap. 23.2) we find in a simile the phrase arcui srafew 'sharp-winged eagle'. In this group of noun and adjectival epithet, both in its form and in its semantics, we have a probable inheritance from the common poetic language of Indo-Iranian,	not-suspect		true	
WATKINS-NFORM-00008	WATKINS-FORM-01699	. Against the meaning	Against the meaning	against the meaning	latin-script	attested_or_cited_form	Celtic	Avestan/Old Iranian	inspire, blow	inspire, blow	118	135	9. Ireland and the art of the syllable	form_plus_single_quote_gloss		note to that text ad loc., and the RIA Dict, under (incorrectly) ar-feid. The equation with the Indo-Iranian forms was first correctly seen by G. Klingenschmitt apud Tichy 1980. 5. Against the meaning 'inspire, blow' argued for by Thieme 1954 = 1984: 139-49, and wrongly accepted by me in Watkins 1963:215-16 = 1994:370-71 and 1985 s.v. wet-1. 6. Compare *pod- 'foot' in Germanic fot- and Celtic *ad	not-suspect		true	
WATKINS-NFORM-00009	WATKINS-FORM-01330	áhann áhim	áhann áhim	ahann ahim	latin-script	attested_or_cited_form	Armenian	Avestan/Old Iranian	he slew the serpent	he slew the serpent		9	Preface	form_plus_single_quote_gloss		myth of the divine hero who slays the serpent recurs in the same linguistic form (derivatives of the IE root *gʷhen-, from Greek φόνος to English bane) in texts from the Rig Veda (áhann áhim 'he slew the serpent') through Old and Middle Iranian holy books, Hittite myth, Greek epic and lyric, Celtic and Germanic epic and saga down to Armenian oral folk epic of the last century. This formula shapes	not-suspect		true	
WATKINS-NFORM-00010	WATKINS-FORM-01915	and anhaus...siiaouana-	and anhaus...siiaouana-	and anhaus...siiaouana	latin-script	attested_or_cited_form	Old Avestan	Avestan/Old Iranian	actions of the world	actions of the world	191	208	16. The hidden track of the cow: Obscure styles in Indo-European	form_plus_single_quote_gloss		ucture in a fashion reminiscent of 'garden path' sentences.4 Line 2 apparently conflates two Old Avestan formulas, vdnhaus siiaouana- mananho 'actions of good thought' (Y. 50.9:2) and anhaus...siiaouana- 'actions of the world' (Y.31.8:6). The resulting opacity is surely intentional. Contributing to the general density are the intersecting syntactic figures: correlation yaua... aua..., delayed conj	not-suspect		true	
WATKINS-NFORM-00011	WATKINS-FORM-01517	and before. They include the Bundahišn	and before. They include the Bundahišn	and before. they include the bundahisn	latin-script	attested_or_cited_form	Avestan	Avestan/Old Iranian	primal creation	primal creation	58	75	4. Poetics as repertory: The poetic traditions of the Indo-European world—Sources and texts	form_plus_single_quote_gloss		itions, both thematic and formulaic, especially the 'Pahlavi Books', written down in the 9th century but incorporating material from the religious writings of the 3rd century A.D. and before. They include the Bundahišn 'primal creation', a cosmological text based upon the Pahlavi translation of lost Avestan texts; the Dēnkard, a Zoroastrian encyclopaedia that includes, among other things, a summar	not-suspect		true	
WATKINS-NFORM-00012	WATKINS-FORM-02668	and dato.baesaza	and dato.baesaza	and dato.baesaza	latin-script	attested_or_cited_form	Avestan	Avestan/Old Iranian	who heals with law	who heals with law	538	555	58. Indo-European medical doctrine	form_plus_single_quote_gloss		based on an expanded version of the Avestan list of V. 7.44 found in Yt. 3.6 (to Asa vahista), which gives the types of healers, beginning with aso.baesaza 'who heals with truth' and dato.baesaza 'who heals with law', and then the three healers with knife (kareta), plant (uruuara) and formula (maVra). The remainder of the passage is basically identical with V. 7.44, and gives the highest place (b	not-suspect		true	
WATKINS-NFORM-00013	WATKINS-FORM-02339	and in the Hittite hi-verb waki	and in the Hittite hi-verb waki	and in the hittite hi-verb waki	latin-script	attested_or_cited_form	Germanic	Avestan/Old Iranian	bites	bites	413	430	42. The name of Meleager	form_plus_single_quote_gloss		γρος was the 'breaker' in Greek (ἄγνυμι).7 The root *uag otherwise not found in Indo-Iranian—recurs in Tocharian AB wak- 'split, open (intr.)', pres. B wokotar < *uag-o-,8 and in the Hittite hi-verb waki 'bites'. The weapon might have been originally the 'biter'; for the semantics compare IE *bheid- in Germanic (bite, beissen) and its association with the WEAPON in Germanic legend. Beowulf	not-suspect		true	
WATKINS-NFORM-00014	WATKINS-FORM-02661	and its derivative vimadaiia-	and its derivative vimadaiia-	and its derivative vimadaiia	latin-script	attested_or_cited_form	Indo-European	Avestan/Old Iranian	treat	treat	538	555	58. Indo-European medical doctrine	form_plus_single_quote_gloss		f ailments is intelligible on a symbolic level, but is neither perfect nor without controversy (Dunkel, to appear). Benveniste also noted the agreement of Avestan vimaS'physician' and its derivative vimadaiia- 'treat' with Latin mederl 'treat', medicus 'physician', which allows the reconstruction of a medical component of the semantics of the root *med- already in Indo-European times. Benveniste s	not-suspect		true	
