headword	status	pc_form	pg_form	references	isogloss_typology	interpretation	interpretation_category	stratum	notes	page_anchor
BATTLE	doubtful	*keldāko- or *kellāko- (MIr. cellach ‘strife, contention’)	*helþī- (OE hild ‘war, battle’, OHG hiltia, ON hildr ‘battle’)	L247, EDPC 199, H31	SM	IE(?)	IE(?)		Derivatives of PIE *kelh2- or *keld- ‘to strike’ meaning ‘battle’ may be found in CG, but the exact formations differ. This semantic shift is likely also trivial, cf. OCS klati ‘to kill’ < *kolh2-.	page:32
BESTOW	doubtful	*linkʷ-o- (OIr. léicid ‘leaves, lets, allows, grants’)	*līhwan- (Go. leiƕan ‘to loan’, ON ljá ‘to lend; to give, grant’, OE lēon, OS far-līhan, MDu. lien, OHG līhan ‘to lend’)	Pr121, KPV 454-6, EDPG 336	SM	IE(?)	IE(?)		A CG semantic innovation of the PIE root *leikʷ- ‘to leave, abandon, release’ to ‘to loan, bestow, grant, allow’ may be adduced. However, the related Skt. riṇákti has a rather close range of meanings, including ‘leaves’, but also ‘gives up, lets go, sells’.	page:32
BREAK	doubtful	*brest- (OIr. bres ‘fight, blow’, brissid ‘breaks’, B, Co. bresel ‘war’)	*brestan- (ON bresta ‘to break’, OE berstan ‘to burst’, OS brestan ‘burst, break’)	EDPC 76, EDPG 75	LX	IE? (0) ML (I), ML(III)	IE? (0) ML (I), ML	III	If related, a CG *bʰrest- ‘to break’ may be reconstructed. However, the Celtic material allows for many reconstructions; an alternative reconstruction to PIE *bʰrdʰ-(t)- allows comparison with Gr. πέρθω ‘to destroy, devastate’.	page:32
BRIGHT	doubtful	*ber(x)to/ā (W berth ‘beautiful, splendid, rich, bright; wealth, treasure’, MB berz, MoB berzh ‘power, authority’)	*berhta/ō (Go. bairhts ‘bright, clear, manifest, evident’, ON bjartr ‘bright, shining; illustrious’, OE beorht, OS berht, OHG beraht, MHG berht ‘bright, shining’)	IEW 139-140, EDPG 61	MO	IE (0), ML (I), GCL (II), ML (III)	IE (0), ML (I), GCL (II), ML	III	Celtic and Germanic potentially share a unique formation *bʰerh1ǵ-to/eh2 to the root *bʰerh1ǵ- ‘to shine, white’, but the Celtic may alternatively be connected to other roots such as *bʰer- ‘to carry’, or *bʰerǵʰ- ‘to be high, hill’; both of these alternatives have semantically attractive comparanda within Celtic, e.g. W aberth ‘offering’, W braint ‘privilege; value’.	page:32
CHOOSE?	doubtful	*gus-o- (OIr. do-goa ‘chooses, selects, elects’)	*keusan- (Go. kiusan ‘to put to a test, prove by trial’, ON kjósa, OE cēosan, OHG kiosan ‘to choose, elect, examine’)	L258, Pr122, KPV 356-361, EDHIL 497, EDPC 169, EDPG 286	SM	IE(?)	IE(?)		The CG meaning ‘to choose’ contrasts with Skt. juṣate ‘enjoys’, Gr. γεύομαι ‘to taste’, Lat. gustō ‘to taste’, all from PIE *ǵeus- ‘to taste’. The original meaning is preserved in Gothic, which may mean that the semantic shift to ‘to choose’ occurred independently. It is also possible that languages other than Celtic and Germanic underwent a semantic shift from ‘to try’ toward ‘to taste’, leaving a CG archaism.	page:32
CLAY	doubtful	*ūrā/i- (OIr. ú(i)r ‘mold, earth, clay, soil’)	*ūra- (Du. oer << LG ūr ‘ferriferous sand, bog iron’)	EDPG 561	LX	IE? (0), L (I-IV)	IE? (0), L	I-IV	If related CG *ūr- may be an isogloss or loanword of any age. However, the cognates are too short to exclude chance resemblance.	page:32
CREAM	doubtful	*ϕlouVno- (OIr. löon, löan, lón ‘fat, provisions, food’)	*flauma(n)- (OHG floum ‘cream, raw leaf-lard’, LG Flom (en) ‘belly fat’)	L262	MO/SM	IE(?)	IE(?)		CG semantic expansion of PIE *pleu- ‘to swim, float, flow’ to the meaning ‘cream, fat, lard’. However, it is trivial to derive ‘cream’ from a verb meaning ‘to float’, because cream naturally floats on top of the milk from which it is extracted. Lard may similarly be rendered by cooking offal in water and allowing the fat to float to the top. Celtic and Germanic may share a mnstem, cf. PG *reuman-, *rauma(n)- ‘cream’. This requires that *m was lost in Celtic in the vicinity of the root-final labial, as it was in Av. raoɣna- ‘butter’ < *Hroug( ʰ) -mno-. However, OIr. löon was disyllabic, implying that this loss of *m was after the Celtic vocalization of syllabic *m to *am, or that Celtic received an unexplained root extension in a laryngeal.	page:32
DARK	doubtful	*dergo- (OIr. derg ‘red’)	*derka- (OE deorc ‘dark’)	L258, IEW 251, EDPC 95, EDPG 93	MO	IE (0)	IE	0	Celtic and Germanic share an adjective *dʰerg-o-. Due to their divergent meanings, however, it is uncertain that the two adjectives are etymologically related. Germanic has semantically more attractive cognates in ToA tärkär, ToB tarkär ‘cloud’ < *dʰrg-ru- and Lith. dargà ‘bad weather’ < *dʰorg-eh2-. The appurtenance of the Celtic word to this root is less certain; even if it shares the root connection, the dissimilar semantics imply that usage as an adjective is independent.	page:33
DIRT	doubtful	*korkāko- (MIr. corcach ‘moor’)	*hurhwa- (ON horr ‘mucus’, OE horh, horg, horu ‘spit’, OS horu ‘mud’, OHG horo ‘dirt, mud, manure’)	IEW 573-574, EDPG 258	RT	IE? (0)	IE?	0	Perhaps a CG *k(o)rk was expanded with *-uo- in Germanic and *-āko- in Celtic. However, the original meaning in Germanic is not secure. If the original meaning in Germanic was ‘spit’, then the isogloss may be rejected in favor of a sound-symbolic origin.	page:33
EVIL	doubtful	*uϕelo- (OIr. fel ‘evil’)	*ubila- (Go. ubils, OE yfel, OS uƀil, OHG ubil ‘evil, bad’)	IEW 1106-1107, EDPC 396, H65, EDPG 557	MO	IE (0), ML (I)	IE (0), ML	I	Celtic and Germanic uniquely share a formation *h2up(h1)-elo-‘evil’ from the PIE root *h2uep(h1)- ‘to treat badly’ or perhaps *upo- ‘under, below’. The isogloss is doubtful because OIr. fel is only found in glossaries and may be back-formed from felbas ‘sorcery’, which may in turn be analyzed as a compound of fell ‘treacherous deed’ and fis ‘knowledge’. However, the single -l in fel and felbas remains unexplained in the latter scenario.	page:33
