priority	status	area	file	issue	evidence	action
P0	fixed in qa-reviewed bundle	bundle completeness	bundle	Front matter absent from previous complete bundle.	Previous bundle began with Chapter 1; front matter pages v-ix include contents, abbreviations, and Ringe’s transcription note.	Added front-matter/ringe-2017-front-matter-first-pass.md.
P0	fixed in qa-reviewed bundle	content omission	chapter-4	Printed p. 304 was missing from Chapter 4 Markdown.	Page-anchor audit found 241-329 with missing 304; search for “m./f. -i-” and “Securely reconstructable neuters” returned no results.	Inserted p. 304 table and following discussion; page-anchor coverage now has no gaps.
P0	fixed in qa-reviewed bundle	metadata	chapter-4	YAML front matter was invalid because of a literal backslash-n embedded in a list item.	YAML parser failed on Chapter 4.	Split the note into a proper YAML list entry.
P1	fixed in qa-reviewed bundle	page anchors	chapter-2	Printed p. 43 page anchor was absent, though the content itself was present.	Page-anchor audit found 5-83 with missing 43.	Inserted page anchor at the printed p. 43 transition.
P1	fixed in qa-reviewed bundle	text extraction artifact	chapter-3	A prose sentence had multiple words joined without spaces.	“Thelossoftheselaryngealsmight beeasiertoexplain ifsyllabicsonorantsbecame*uR”.	Corrected to normal spacing.
P1	fixed in qa-reviewed bundle	private-use glyphs	index	Two private-use characters remained in the index for Runic Norse -AR.	U+F761 U+F772 in index line for “a-stem masc. nom. pl., Runic Norse”.	Normalized to “-AR”.
P1	partially fixed; monitor	hyphenation artifacts	chapter-2/chapter-4/index	Residual line-break hyphenation was present after previous passes.	Chapter 2 had 21 candidates, Chapter 4 had 48, index had 4 in the pre-QA audit.	Applied exact cleanup for obvious prose artifacts. Residual candidates are mostly morpheme/stem breaks or code-block boundary issues.
P2	unresolved by design	semantic Markdown structure	chapter-4	Some prose remains inside fenced text blocks because large paradigms/tables were extracted conservatively.	Several Chapter 4 prose regions occur while a fenced block is open.	Acceptable for search/corpus use; improve only if a polished human-reading edition is needed.
P2	unresolved by design	index structure	index-md	Index Markdown is not page-anchored.	Index Markdown has structured sections and page refs but no p. 348-406 anchors.	Structured CSV/TSV is preferable for navigation; page-anchoring the index can be a later enhancement.
P2	unresolved by design	diplomatic verification	chapters-2-4	Dense paradigms and technical notation remain corpus-grade, not citation-grade.	Large paradigm tables and mixed PIE/PGmc notation were the main extraction-risk areas throughout the project.	Verify individual forms against the PDF before formal citation or before copying into a lexicon/paradigm generator.
