collation_priority	entry_id	pdf_page_start	entry_heading	fields_to_check	reason	ninth_pass_status	ninth_pass_action	corrected_heading	rendered_page_available	tenth_pass_status	tenth_pass_action	eleventh_pass_status	eleventh_pass_action
1-high	6	35	aboleō	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-laryngeal;possible-missing-abbrev-period;space-laryngeal	high-priority-still-flagged	requires manual visual collation for full character authority		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
1-high	24	40	aeger	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;contains-symbol-or-ocr-risk;possible-missing-abbrev-period; PIE field may include explanatory prose	high-priority-still-flagged	requires manual visual collation for full character authority		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
1-high	39	45	aio, ais	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;contains-symbol-or-ocr-risk;possible-missing-abbrev-period; IE cognates field may include explanatory prose	high-priority-still-flagged	requires manual visual collation for full character authority		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
1-high	41	46	albus	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;contains-symbol-or-ocr-risk;possible-missing-abbrev-period; IE cognates field may include explanatory prose	high-priority-still-flagged	requires manual visual collation for full character authority		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
1-high	80	59	ante	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;starred-form-with-digit;contains-symbol-or-ocr-risk;possible-missing-abbrev-period; IE cognates field may include explanatory prose	high-priority-still-flagged	requires manual visual collation for full character authority		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
1-high	97	64	arbor, -oris	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;possible-missing-abbrev-period; PIE field may include explanatory prose	high-priority-still-flagged	requires manual visual collation for full character authority		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
1-high	103	66	arduus	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;contains-symbol-or-ocr-risk;possible-missing-abbrev-period; IE cognates field may include explanatory prose	high-priority-still-flagged	requires manual visual collation for full character authority		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
1-high	128	75	audio, -ire	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;starred-form-with-digit;contains-symbol-or-ocr-risk;possible-missing-abbrev-period; IE cognates field may include explanatory prose	high-priority-still-flagged	requires manual visual collation for full character authority		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
1-high	141	80	avus	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;possible-missing-abbrev-period; IE cognates field may include explanatory prose	high-priority-still-flagged	requires manual visual collation for full character authority		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
1-high	159	85	bl-	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-symbol-or-ocr-risk;possible-missing-abbrev-period;h-bracket	high-priority-still-flagged	requires manual visual collation for full character authority		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
