pdf_page	printed_page	page_anchor	source_candidate_pdf_text	normalized_candidate_pass6	normalized_candidate_pass7	lookup_candidate_pass7	confidence_pass7	repair_actions_pass7	issue_bucket_pass7	greek_nonlatin_class_pass7	pass7_note	context_line_pdf_text
95	17	pdf-page-095	*b~rö-	*b~rö-	*b~rö-	*b~rö-	low-greek-or-nonlatin-surrogate	kept_unresolved_opaque_script_surrogate	greek_unresolved;still_unresolved;greek_or_script_surrogate_still_unresolved	greek-or-opaque-script-surrogate	Contains OCR surrogate characters for Greek or custom-font notation; left unresolved rather than guessed.	germ. *b~rö- f. '(Toten)Bahre, Sänfte' in ahd. bära, ae. b~r, aso
96	18	pdf-page-096	*-bbr-noßI	*-bʰr-noßI	*-bʰr-noßI	*-bʰr-noßI	low-greek-or-nonlatin-surrogate	kept_unresolved_nonlatin_other	greek_unresolved;still_unresolved;nonlatin_still_unresolved	nonlatin-unresolved-other	No safe mechanical repair rule applied.	*-bbr-noßI
96	18	pdf-page-096	*bBrÖ-f.	*bBrÖ-f	*bBrÖ-f	*bBrÖ-f	low-greek-or-nonlatin-surrogate	kept_unresolved_nonlatin_other	greek_unresolved;still_unresolved;nonlatin_still_unresolved	nonlatin-unresolved-other	No safe mechanical repair rule applied.	germ. *bBrÖ-f. in an. bararf. (PI. tant.) '(Toten)bahre'
101	23	pdf-page-101	*burjJIdin-jä-	*burjJIdin-jä-	*burjJIdin-jä-	*burjJIdin-jä-	low-greek-or-nonlatin-surrogate	kept_unresolved_opaque_script_surrogate	greek_unresolved;still_unresolved;greek_or_script_surrogate_still_unresolved	greek-or-opaque-script-surrogate	Contains OCR surrogate characters for Greek or custom-font notation; left unresolved rather than guessed.	dem ae. byrpen, byrden f. 'Bürde' < germ. *burjJIdin-jä- heranzieht, postuliert auch in dieser
102	24	pdf-page-102	*cpqmX	*cpqmX	*cpqmX	*cpqmX	low-greek-or-nonlatin-surrogate	kept_unresolved_opaque_script_surrogate	greek_unresolved;still_unresolved;greek_or_script_surrogate_still_unresolved	greek-or-opaque-script-surrogate	Contains OCR surrogate characters for Greek or custom-font notation; left unresolved rather than guessed.	eingeschleppt; anden; DELG 1190: für *cpqmX; durch progressive Assimilation.
104	26	pdf-page-104	*däfl~.	*däfl~	*däfl~	*däfl~	low-greek-or-nonlatin-surrogate	kept_unresolved_opaque_script_surrogate	greek_unresolved;still_unresolved;greek_or_script_surrogate_still_unresolved	greek-or-opaque-script-surrogate	Contains OCR surrogate characters for Greek or custom-font notation; left unresolved rather than guessed.	68 Entspr. *däfl~.
116	38	pdf-page-116	*bröpeJI	*bröpeJI	*bröpeJI	*bröpeJI	low-greek-or-nonlatin-surrogate	kept_unresolved_opaque_script_surrogate	greek_unresolved;still_unresolved;greek_or_script_surrogate_still_unresolved	greek-or-opaque-script-surrogate	Contains OCR surrogate characters for Greek or custom-font notation; left unresolved rather than guessed.	germ. *bröpeJI m. 'Bruder' in got. NASg. bropar, GSg. bropri2,
121	43	pdf-page-121	*bTÜ-	*bTÜ-	*bTÜ-	*bTÜ-	low-greek-or-nonlatin-surrogate	kept_unresolved_nonlatin_other	greek_unresolved;still_unresolved;nonlatin_still_unresolved	nonlatin-unresolved-other	No safe mechanical repair rule applied.	"from the noun stem *bTÜ- < -blJruH-, as if *brHu-"" nicht aus."
121	43	pdf-page-121	*bTÜ-t-os)	*bTÜ-t-os)	*bTÜ-t-os)	*bTÜ-t-os	low-greek-or-nonlatin-surrogate	kept_unresolved_nonlatin_other	greek_unresolved;still_unresolved;nonlatin_still_unresolved	nonlatin-unresolved-other	No safe mechanical repair rule applied.	ein vormaliges Paradigma bni, GSg. *broth (älter *bni-t-s, *bTÜ-t-os) führen könne. Hierher
122	44	pdf-page-122	*<iIlPo\lfE~	*<iIlPo\lfE~	*<iIlPo\lfE~	*<iIlPo\lfE~	low-greek-or-nonlatin-surrogate	kept_unresolved_opaque_script_surrogate	greek_unresolved;still_unresolved;greek_or_script_surrogate_still_unresolved	greek-or-opaque-script-surrogate	Contains OCR surrogate characters for Greek or custom-font notation; left unresolved rather than guessed.	*<iIlPo\lfE~ erwogen, was
