headword	status	pc_form	pg_form	references	isogloss_typology	interpretation	interpretation_category	stratum	notes	page_anchor
About	rejected			L260, IEW 34-35, EDPC 32, EDPG 352					PC *ambi ‘about’ is cognate with PG *umbi ‘about’, but further cognates exist elsewhere in Indo-European, e.g. Gr. ἀμφί ‘for, about’.	page:39
Angelica	rejected			Dinneen 1904, L252, Marstrander 1910, IEW 262,					Birkhan 1999, Pl284, H20 Ir. cuinneog ‘angelica’ has been connected with ON hvǫnn ‘angelica’. This connection would require a Celtic-Germanic *kʷos-n- that had a derivative *kʷonn-iā early on in Celtic, and later received a diminutive suffix -og in Irish. No further reflexes of this *kʷonn- are found in Celtic. Cuinneog may also mean ‘churn, bucket’, and it was borrowed into Welsh as cunnog ‘bucket’, where Ir. /u/ followed by a palatal consonant was adopted as Welsh /ʉ/ (cf. W drum, trum ‘crest, peak’ < OIr. druimm).12 The meaning ‘churn, bucket’ must be older: it is the only meaning found in Welsh, and it is found in Irish from the Middle Ages onwards, while meaning ‘angelica’ is first attested in Dinneen’s dictionary. Moreover, the meaning ‘angelica’ is often found only in compounds, e.g. ScG cuinneag ‘bucket’, cuinneag-mhidhe ‘angelica’, so it is likely a later derivation motivated by its hollow stem.	page:39
Anger, quarrel	rejected			L247, EDPG 527					A CG semantic isogloss between MIr. drenn ‘quarrel, combat’ and PG *tur(z)na- (OE, OS torn, OS torn, Du. toorn, OHG zorn ‘anger, rage’) has been proposed as containing PIE *derh2-‘to split’ in the meaning ‘anger, conflict’, cf. Skr. dīrṇa- ‘split’. However drenn cannot be formally reconciled with this root: a pre-form *drh2-no- would be expected to yield PC *drāno- > MIr. **drán while a pre-form *drh2-sno- would yield PC **dranno- > MIr. **drann (cf. OIr. flann ‘blood red’ < *wlanno- < PIE *u̯ lH-sno-).	page:39
Apple	rejected			L251, IEW 1-2, EDPG 31					PC *abVl- ‘apple’ is cognate with PG *apla- ‘apple’, but this formation has cognates in Balto-Slavic, e.g. Lith. obuolỹs ‘apple’.	page:39
Army	rejected			L247, Kr136, IEW 615-616					PC *korio- ‘troop’ may be connected to PG *harja- ‘army’, but cognates are found in e.g. Lith. kãrias ‘army’. Even if the latter is borrowed from Germanic, the io-stem of this root is also found as a derivational base in the Gr. personal name Κοίρανος.	page:39
Awl	rejected			IEW 18-22, EDPG 44					The PIE root h2eḱ- ‘sharp’ has been posited to contain a CG derivation in *-uol- in W ebill ‘piercer, pin’ and PG *awala-‘awl’, but this derivation leaves the Welsh vocalism and the 12 Shared inheritance may be excluded because Irish u should correspond to Welsh w, and Welsh u should correspond to Irish ó, úa or oí. fortis ll unexplained. Whatever the exact derivation of the Welsh, it is unlikely to be closer in derivation or meaning to the Germanic than to VLat. *acūcla ‘needle’ (OFr. aguille, Span. aguja).	page:39
Axle	rejected			IEW 6, H71, Ko9					Formations of PIE *h2eḱs-i- with *-l- in PC *axsilā, PG ahsula-‘axle’ have been argued to constitute a morphological CG isogloss, but Lat. āla, dim. axilla ‘armpit; wing’ has the same formation. The meaning ‘axle’ is archaic, cf. Gr. ἄξων, Lat. axis, Skt. ákṣa- ‘axle’.	page:40
Bag	rejected			L255, IEW 125-126, EDPC 70, EDPG 49					PC *bolgo- ‘sack, bag, stomach’ and PG *balgi- ‘skin bag’ both continue the PIE root *bʰelǵʰ- ‘to swell’ and some reflexes in both branches have the meaning ‘belly’, cf. OE belg, WFri. bealch, W bola. However the wide range of meanings necessitates a shared IE proto-form meaning ‘swollen object, bag’, a meaning shared with other cognates, cf. Ru. bólozen ‘callus, bump’, Av. barəziš ‘pad, pillow’.	page:40
Bald	rejected			EDPC 260					PC *mailo- ‘bald’ cannot be connected to PG *maitan- ‘to hew, cut’ through a supposed shared root *mai-, because the Germanic, along with the related verbs *mittōn- ‘to cut’ and *maidjan- ‘to hurt’, requires an earlier PG *maiþan-, with the *þ as part of the verbal stem. There is no trace of a dental in Celtic, so the forms can only be compared after arbitrary segmentation.	page:40
Battle	rejected			L246–247, Kr136, IEW 534, Schm140, EDHIL 466					PC *katu- ‘battle’ can be connected to PG *haþu- ‘battle’, but IE cognates are numerous, e.g. Hitt. kattu- ‘enmity, strife’ < *kh3-tu-, Gr. κότος ‘spite, anger’ < *kh3-(e)to-.	page:40
