example_no	line	pdf_page	source_page	in_code_block	text
1	429	pdf-030	14	True	(1)       tasʔastxʷɬtˢ stˢslxaɬs waʔaɬwlaɬtˢ
2	447	pdf-031	15	True	(2)       stp ‘freckle’
3	448	pdf-031	15	True	(3)       John gave the books to his brother.
4	464	pdf-032	16	True	(4)       John handed the revolver to the guard.
5	465	pdf-032	16	True	(5)       John presented a petition to the king.
6	466	pdf-032	16	True	(6)       John donated a painting to the museum.
7	494	pdf-033	17	True	"(7)       a. Caesar-ī   lanc-em   da-mus.
b. *Caesar-em lanc-e    da-mus."
8	496	pdf-033	17	True	"(8)       a. Mihī   ist-ud   trāde-0./
b. *Mē   ist-ō    trāde-0./"
9	498	pdf-033	17	True	"(9)       a. Caesar-ī   lanc-em   dōnā-mus.
b. Caesar-em lanc-e    dōnā-mus."
10	500	pdf-033	17	True	"(10)      a. Nātūra-0/   ali-ud    ali-ī     mūnerā-tur.
b. Mātr-em   h-ō-c      mūner-e-r."
11	523	pdf-034	18	True	"(11)      a. M-bidzi   zi-na-pats-a     m-sampha kwa n-khandwe.
v.pl-zebra v.pl-pst-give-ind ii.sg-trap  to  v.sg-fox
b. M-bidzi   zi-na-patsa      n-khandwe m-sampha.
v.pl-zebra v.pl-pst-give-ind v.sg-fox   ii.sg-trap
c. *M-bidzi  zi-na-pats-ir-a        n-khandwe m-sampha.
v.pl-zebra v.pl-pst-give-appl-ind v.sg-fox   ii.sg-trap"
12	529	pdf-034	18	True	"(12)      a. M-bidzi   zi-na-perek-a     m-piringidzo kwa m-tsikana.
v.pl-zebra v.pl-pst-hand-ind ii.sg-crowbar to  i.sg-girl
b. *M-bidzi  zi-na-perek-a     m-tsikana m-piringidzo.
v.pl-zebra v.pl-pst-hand-ind i.sg-girl  ii.sg-crowbar
c. M-bidzi   zi-na-perek-er-a       m-tsikana m-piringidzo.
v.pl-zebra v.pl-pst-hand-appl-ind i.sg-girl  ii.sg-crowbar"
13	552	pdf-035	19	True	(13)      Ndi-ku-fun-a    kuti mu-wa-pats-e    m-phatso a-lenje.
14	553	pdf-035	19	True	"(14)      M-tsikana a-na-perek-er-edw-a       m-piringidzo ndi m-bidzi.
i.sg-girl  3sg-pst-hand-appl-pass-ind ii.sg-crowbar by v.pl-zebra"
15	661	pdf-039	23	True	(15)      Then put her some more. [2.4]
1	779	pdf-048	32	True	(1)       I don’t drink so much coffee anymore.
2	780	pdf-048	32	True	(2)       Does he even show up anymore?
3	781	pdf-048	32	True	(3)       *I used to think that show was boring, but anymore I kind of like it.
4	837	pdf-052	36	True	(4)       If I had known how to fix the bicycle I would have.
5	838	pdf-052	36	True	(5)       If I had known how to fix the bicycle I would have done.
6	856	pdf-053	37	True	"(6)       Singular     Plural        Singular  Plural
datum       data         cactus   cacti
bacterium    bacteria       alumnus  alumni
medium     media        alumna   alumnae
phenomenon  phenomena    formula  formulae"
1	1203	pdf-083	67	True	(1)       a. I’ m’ont donné mon argent back.
2	1204	pdf-083	67	True	(2)       a. Tu peux aller leur dire back.
3	1205	pdf-083	67	True	(3)       a. Quoi ce-qu’ils parlont about?
4	1231	pdf-084	68	True	(4)       Cette valise, je voyage toujours avec.
5	1232	pdf-084	68	True	(5)       la fille que je sors avec
6	1233	pdf-084	68	True	(6)       la fillei cp[que je connais très bien dp[le gars cp[qui sort avec proi]]]
7	1234	pdf-084	68	True	(7)       *the girli cp[that I know quite well dp[the guy cp[who goes out with ti]]]
8	1235	pdf-084	68	True	(8)       Qui ce-que t’as fait le gâteau pour?
9	1236	pdf-084	68	True	(9)       *Quii ce-que tu connais le projet à ti?
10	1237	pdf-084	68	True	(10)      a. Le cimenti a été marché dedans ti avant d’être sec.
12	1269	pdf-086	70	True	"(12)      Singular         Plural
nign ‘melody’     nigúnəm
lamdn ‘scholar’    lamdónəm
talməd ‘pupil’     talmídəm
sejfər ‘holy book’  sforəm
šojmər ‘guard’    šomrəm
məkor ‘source’    məkojrəm
dóktor ‘doctor’    doktójrəm (!)"
14	1304	pdf-088	72	True	(14)      movable (trans.) before 1325 (intrans. also fourteenth century; move c. 1275)
1	1537	pdf-098	82	True	(1)       e:, ɪ > e > ei̯ > øi (or̯  əi)̯ > oi̯ > o ̯e > ̯oe > ̯ue > ̯uɛ > ̯ua.
2	1692	pdf-106	90	True	(2)       Proto-West Semitic *p, e.g. in *paqada ‘he has paid attention to’ (cf. Hebrew
3	1693	pdf-106	90	True	(3)       Proto-Polynesian *t, e.g. in *tapu ‘forbidden’ (cf. Tongan, Samoan, Maori
4	1694	pdf-106	90	True	(4)       Proto-West Germanic *w, e.g. in *wīn ‘wine’ (cf. OE wīn, ModE wine /wɑɪn/)
5	1801	pdf-110	94	True	(5)        a. [me:tə] ‘meet’, [mɛttə] ‘met’; [fe:də] ‘feed’, [fɛddə] ‘fed’
6	1817	pdf-111	95	True	"(6)       Morpheme-final n1                  Morpheme-final n2
/ata:hp-en1-/ ‘pick (someone) up’:      /kan1o:n2-/ ‘speak to’:
e:h-ata:hpen-a:či ‘he took hold of him’  kano:n-e:wa ‘he speaks to him’
maw-ata:hpen-i ‘go pick him up!’      kano:š-i ‘speak to him!’
/čapo:k-en1-/ ‘dip (someone) in water’   /awan2-/ ‘take (someone) with one’
čapo:ken-e:wa ‘he dips him in water’    ket-awan-a:pena ‘you and I take him with us’"
7	1859	pdf-112	96	True	(7)       Verb suffixes and endings:
8	1860	pdf-112	96	True	(8)       Verb stems:
9	1874	pdf-113	97	True	(9)       Nouns:
10	1875	pdf-113	97	True	(10)      Other common examples: adjectives vetus ∼veter- ‘old’, mās ∼mar- ‘male’;
1	2094	pdf-123	107	True	"(1)          Bilabial Dental Retroflex Palatal Velar
[−cor]  [+cor] [+cor]  [+cor] [−cor]
[labial] [+ant] [−ant]  [−ant] [dorsal]"
2	2097	pdf-123	107	True	"(2)          Alveolar Retroflex Palatal
[+cor]  [+cor]  [+cor]
[+ant]  [−ant]  [−ant]"
3	2100	pdf-123	107	True	(3)       a. pácanam ‘cooking implement’, bʰójanam ‘nourishment’, yójanam ‘team
