source_pdf_page	markdown_line	issue	text
105	3306	explicit_greek_pseudo_ocr_risk	  1 5  Könnte anders als hom. φύομαι auf altes *phüje- zurückgehen, falls nicht einfach der Langvo    kal aus Aor. und Fut. übernommen ist (zu angeblichem äol. <pv[w s. TUCKER 386). KLINGEN   SCHMITT 22277 setzt wegen gr. <pfw n. 'Keim, Sproß' lautgesetzliches *bʰlje- < *bʰüje- an,
120	3923	explicit_greek_pseudo_ocr_risk	   Gen. (analog.) *dem-s (aav. däi:ig paiti-, gr. &u- Jr6r17q).
161	5615	explicit_greek_pseudo_ocr_risk	Fientiv   *dʰrubʰ-eh/hr     gr. Ptz. Aor. öza-rpvqJtvII. 3,363 'zerbrochen'
198	7032	explicit_greek_pseudo_ocr_risk	Präsens    *gʰ11r;-ske-            gr. ion. att. χάσκω 'gähne, öffne den Mund'
226	8130	explicit_greek_pseudo_ocr_risk	"Präsens   * gϚ11i-gϚ11reh₁!gt'""rhr    [ ved. 3s jfghrati '(be )riecht'23"
226	8136	explicit_greek_pseudo_ocr_risk	"   Vgl. ved. ghr61Ja- 'Geruchssinn'; hierher gr. 6a- rpprr 'riechen' aus *h₃eds-g('""rehr, Verbal   kompositum mit altem s-Stamm im Vorderglied (wie *mens-dʰehr in  iir. *mam-dʰä-, vgl."
232	8388	explicit_greek_pseudo_ocr_risk	   HOFFMANN, Inj.  1 74); vgl. LUBOTSKY, Koll. Erlangen 3 1 6-7; nn Bsl. teilweise mit sekundä   rem Akut, vgl. LUBOTSKY, l.c. 3 1 7-8; falls gr. kypr. aopov· μoz.1.6v,  JrV-1.cliva, 8vpwp6v Hsch.
295	10901	explicit_greek_pseudo_ocr_risk	Aorist    * h₂yirl h₂yer-s-     [gr. -rttp{Jr/ 'hing; kam ins Schwebend
392	14657	explicit_greek_pseudo_ocr_risk	   < Lok. *k/'elh₁ 'am Wendepunkt' (endungslos-dehnstufige Bildung vom Typ av. dgm), HAR   DARSON, HS 108 (1995) 205-6; daher lautlich regulär *kl'olhrefe- > gr. JrOACW, *k/'Ölhrfe- >
392	14658	explicit_greek_pseudo_ocr_risk	    gr. JrWUoμm (gegenüber *pothrefe- > gr. Jroraoμm, *póthrfe- > gr. Jrwraoμm  'fliege,
392	14659	explicit_greek_pseudo_ocr_risk	    flattere') und *kl'e/hrdʰe- > gr. reUBw (gegenüber *pelhrdʰe- > gr. JreJcaBw); *kl'f/-kl'fhro- >
392	14664	explicit_greek_pseudo_ocr_risk	   Thematisiert; gr. tJrJct:w < *e-kl'/-e-to (statt *iJr<iAt:w < *e-k/'Jhre- oder *tJrtAt:w < *e-k/'el-e    to f- *k/'ele-to < *k/'fhrto) zu Präs. JriJcoμm nach i:Jroμm  : ÜJr6μ17v, RIX, Unfreiheit 24.
395	14787	explicit_greek_pseudo_ocr_risk	Desider.   *kʷ'endʰ/k/Jr:zdh-s-   gr. πείσομαι 'werde erleben, werde erleiden'6
