label	line	pdf_page	source_page	context
ON	41	pdf-005		### DON RINGE AND JOSEPH F. ESKA
Old English	106	pdf-010	viii	6.1 First assimilation of Old English gædeling                   106
Old English	107	pdf-010	viii	6.2 Second assimilation of Old English gædeling                 106
Ancient Greek	108	pdf-010	viii	6.3 Second compensatory lengthening in Ancient Greek           109
Middle English	109	pdf-010	viii	6.4 Early southern Middle English vowels                       120
Ionic	111	pdf-010	viii	8.1 Ionic dialect ‘say’ before reanalysis                        169
Ionic	112	pdf-010	viii	8.2 Ionic dialect ‘say’ after reanalysis                        169
Latin	122	pdf-011	ix	5.1 Latin stressed ē in open syllables in French               page 81
French	122	pdf-011	ix	5.1 Latin stressed ē in open syllables in French               page 81
Latin	123	pdf-011	ix	5.2 Latin stressed ē before nasals in French                       82
French	123	pdf-011	ix	5.2 Latin stressed ē before nasals in French                       82
Latin	124	pdf-011	ix	5.3 Lenition of Latin voiceless stops in Spanish                   85
Latin	125	pdf-011	ix	5.4 Latin /kt/, /gn/ (= [ŋn]) in Romanian                        88
Romanian	125	pdf-011	ix	5.4 Latin /kt/, /gn/ (= [ŋn]) in Romanian                        88
Middle English	127	pdf-011	ix	5.6 Part of the shortening rule in late Middle English               92
Tocharian	128	pdf-011	ix	5.7 Palatalization in two Tocharian B verb paradigms              93
Attic	129	pdf-011	ix	5.8 The loss of *w in Attic Greek                        94
Latin	130	pdf-011	ix	5.9 Inherited *s and *r in Latin                        96
Middle English	131	pdf-011	ix	5.10 Secondary split of /θ/ in late Middle English                   98
Latin	132	pdf-011	ix	5.11 Counterfeeding of rhotacism and [ss] →[s] in Classical Latin    99
Latin	135	pdf-011	ix	6.1 Latin /-li-/, /-āli-/, default realizations                       112
Latin	136	pdf-011	ix	6.2 Latin /-li-/, /-āli-/ with dissimilation                        113
Latin	137	pdf-011	ix	6.3 Latin /-āli-/, dissimilation blocked                        113
Ancient Greek	138	pdf-011	ix	6.4 Mediopassive perfect forms of six Ancient Greek verbs        116
Middle English	140	pdf-011	ix	Middle English                        122
German	146	pdf-011	ix	6.10 Devoicing and g-loss in northern Germany                   127
German	147	pdf-011	ix	6.11 g-loss and devoicing in southern Germany                   127
Proto-Baltic Finnic	148	pdf-011	ix	6.12 Assibilation in Proto-Baltic Finnic                        129
Finnish	149	pdf-011	ix	6.13 3sg. simple past tense forms in Finnish                      129
Menomini	150	pdf-011	ix	6.14 /o:/-raising in Menomini                        131
Old English	152	pdf-011	ix	in Old English                        134
Maori	153	pdf-011	ix	6.16 Some Maori verbs and their derivatives                      146
Attic	154	pdf-011	ix	7.1 Attic Greek mediopassive verb endings                      161
Old English	155	pdf-011	ix	8.1 Typical Old English examples of i-umlaut                    180
German	156	pdf-011	ix	8.2 1pl. and 3pl. forms of an Old High German verb              182
German	164	pdf-012	x	8.3 1pl. and 3pl. forms of a Middle High German verb            182
Attic	166	pdf-012	x	syncretism in Attic Greek                        183
Attic	167	pdf-012	x	8.5 Actual and expected nom. and acc. pl. endings of the Attic
Latin	169	pdf-012	x	8.6 Partial paradigm of a Latin third-conjugation verb             184
Ancient Greek	170	pdf-012	x	8.7 Thematic pres. indic. and subj. of an Ancient Greek verb       185
German	174	pdf-012	x	8.10 Pres. and past indic. paradigms in some West Germanic
German	176	pdf-012	x	8.11 Inherited pl. verb endings in northern West Germanic          190
PIE	177	pdf-012	x	8.12 Partial PIE paradigm of the determiner ‘that’                 191
PGmc.	178	pdf-012	x	8.13 Partial PGmc. paradigm of the determiner ‘that’              192
Attic	179	pdf-012	x	8.14 Some suppletive verbs in Attic Greek                        194
Attic	180	pdf-012	x	8.15 ‘Say’ in Attic Greek                        194
Latin	181	pdf-012	x	8.16 ‘Go’ in Latin and three of its descendants                    195
Russian	182	pdf-012	x	8.17 Partial paradigms of some Russian nouns                    198
Tocharian	183	pdf-012	x	8.18 Partial paradigms of some noun phrases in Tocharian B        199
Romanian	184	pdf-012	x	8.19 Partial paradigms of some noun phrases in Romanian          199
PIE	186	pdf-012	x	8.21 Case mergers in some daughters of PIE                      207
Ancient Greek	187	pdf-012	x	9.1 Position of the verb in three Ancient Greek texts              215
Old Irish	195	pdf-012	x	9.6 Expected development of Old Irish verbs with suffixed object
Fox	204	pdf-012	x	10.1 Some Fox and Shawnee cognates                        233
Cree	205	pdf-012	x	10.2 Sibilant merger in Cree                        234
German	206	pdf-012	x	10.3 Some English and German cognates, first set                 235
German	212	pdf-013	xi	10.4 Some English and German cognates, second set              236
Latin	213	pdf-013	xi	10.5 Inherited *s and *r in Latin and Sanskrit                     237
Sanskrit	213	pdf-013	xi	10.5 Inherited *s and *r in Latin and Sanskrit                     237
German	214	pdf-013	xi	10.6 Inherited *kn- in English and German                       238
Old English	215	pdf-013	xi	10.7 Reconstructing the secondary split of Old English þ in
Mánśi	217	pdf-013	xi	10.8 Cognates in two Mánśi dialects                        239
Mánśi	218	pdf-013	xi	10.9 Phonemes of Proto-Mánśi                        250
Tocharian	220	pdf-013	xi	11.2 The six words in which English initial /f/ matches Tocharian
Proto-Indo-European	227	pdf-013	xi	and Proto-Indo-European                        279
