pdf_page	printed_page	page_anchor	line_no_in_extracted_page_text	source_candidate_pdf_text	normalized_candidate_pass5	normalized_candidate_pass6	lookup_candidate_pass6	confidence	confidence_pass6	repair_actions_pass6	issue_bucket_pass6	flags	context_line_pdf_text	normalized_candidate_pass7	lookup_candidate_pass7	confidence_pass7	issue_bucket_pass7	repair_actions_pass7	greek_nonlatin_class_pass7	pass7_note
79	1	pdf-page-079	1	*bbag-tRo-	*bʰag-tRo-	*bʰag-tro-	*bʰag-tro-	medium	medium-repaired	mechanical_character_repair		aspirated_b	* bbag-tRo- n.	*bʰag-tro-	*bʰag-tro-	medium-repaired		no_pass7_change		Outside pass-7 Greek/non-Latin target set.
79	1	pdf-page-079	2	*bbog-i-f.	*bʰog-i-f	*bʰog-i-f	*bʰog-i-f	medium	medium-repaired	trimmed_terminal_period;mechanical_character_repair		aspirated_b	*bbog-i-f.	*bʰog-i-f	*bʰog-i-f	medium-repaired		no_pass7_change		Outside pass-7 Greek/non-Latin target set.
79	1	pdf-page-079	3	*bbag-ti-	*bʰag-ti-	*bʰag-ti-	*bʰag-ti-	medium	medium-repaired	mechanical_character_repair		aspirated_b	* bbag-ti- f.	*bʰag-ti-	*bʰag-ti-	medium-repaired		no_pass7_change		Outside pass-7 Greek/non-Latin target set.
79	1	pdf-page-079	4	*bbag-o-	*bʰag-o-	*bʰag-o-	*bʰag-o-	medium	medium-repaired	mechanical_character_repair		aspirated_b	* bbag-o- m.6	*bʰag-o-	*bʰag-o-	medium-repaired		no_pass7_change		Outside pass-7 Greek/non-Latin target set.
79	1	pdf-page-079	5	*-bbag-o-	*-bʰag-o-	*-bʰag-o-	*-bʰag-o-	medium	medium-repaired	mechanical_character_repair		aspirated_b	*-bbag-o-	*-bʰag-o-	*-bʰag-o-	medium-repaired		no_pass7_change		Outside pass-7 Greek/non-Latin target set.
79	1	pdf-page-079	6	*bbag-lihr	*bʰag-lihr	*bʰag-lihr	*bʰag-lihr	medium	medium-repaired	mechanical_character_repair		aspirated_b	* bbag-lihr f.	*bʰag-lihr	*bʰag-lihr	medium-repaired		no_pass7_change		Outside pass-7 Greek/non-Latin target set.
79	1	pdf-page-079	7	*bbag-to-	*bʰag-to-	*bʰag-to-	*bʰag-to-	medium	medium-repaired	mechanical_character_repair		aspirated_b	*bbag-to-	*bʰag-to-	*bʰag-to-	medium-repaired		no_pass7_change		Outside pass-7 Greek/non-Latin target set.
79	1	pdf-page-079	8	*bbag-	*bʰag-	*bʰag-	*bʰag-	medium	medium-repaired	mechanical_character_repair		aspirated_b	*bbag- 'als Anteil bekommen'	*bʰag-	*bʰag-	medium-repaired		no_pass7_change		Outside pass-7 Greek/non-Latin target set.
79	1	pdf-page-079	10	*-bbSg-	*-bʰā́g-	*-bʰSg-	*-bʰSg-	low	low	mechanical_character_repair	still_unresolved	aspirated_b;vowel_accent_surrogate_low_confidence	* -bbSg-	*-bʰSg-	*-bʰSg-	low	still_unresolved	no_pass7_change		Outside pass-7 Greek/non-Latin target set.
79	1	pdf-page-079	12	*bbag-on-	*bʰag-on-	*bʰag-on-	*bʰag-on-	medium	medium-repaired	mechanical_character_repair		aspirated_b	*bbag-on-	*bʰag-on-	*bʰag-on-	medium-repaired		no_pass7_change		Outside pass-7 Greek/non-Latin target set.
79	1	pdf-page-079	14	*-bbag-tor-	*-bʰag-tor-	*-bʰag-tor-	*-bʰag-tor-	medium	medium-repaired	mechanical_character_repair		aspirated_b	* -bbag-tor- m.	*-bʰag-tor-	*-bʰag-tor-	medium-repaired		no_pass7_change		Outside pass-7 Greek/non-Latin target set.
79	1	pdf-page-079	16	*-bbag-ter-4	*-bʰag-ter-4	*-bʰag-ter	*-bʰag-ter	low	medium-repaired	stripped_terminal_footnote_digits;mechanical_character_repair	footnote_digits	aspirated_b	* -bbag-ter-4 m.	*-bʰag-ter	*-bʰag-ter	medium-repaired	footnote_digits	no_pass7_change		Outside pass-7 Greek/non-Latin target set.
79	1	pdf-page-079	35	*bbag-ahrtolah.	*bʰag-ahrtolah	*bʰag-ahrtolah	*bʰag-ahrtolah	medium	medium-repaired	trimmed_terminal_period;mechanical_character_repair		aspirated_b	*bbag-ahrtolah.	*bʰag-ahrtolah	*bʰag-ahrtolah	medium-repaired		no_pass7_change		Outside pass-7 Greek/non-Latin target set.
79	1	pdf-page-079	38	*ä	*ä	*ä	*ä	source-layer	low-greek-or-nonlatin-surrogate	greek_or_nonlatin_surrogate_unresolved	greek_unresolved;still_unresolved		*ä als DS zu grundstufigern *a rechnen will. Zu 'Buche' s. eigenen Ansatz *bbah2/f{0-).	*ā	*ā	medium-repaired-greek-nonlatin-pass7	nonlatin_repaired	repaired_latin_macron_surrogates	latin-script-macron-surrogate	In lexical-form candidates, OCR ä/ö/ü/O were normalized as ā/ō/ū/ō where no opaque Greek/script surrogate or embedded gloss was present.
79	1	pdf-page-079	38	*a	*a	*a	*a	source-layer	source-layer				*ä als DS zu grundstufigern *a rechnen will. Zu 'Buche' s. eigenen Ansatz *bbah2/f{0-).	*a	*a	source-layer		no_pass7_change		Outside pass-7 Greek/non-Latin target set.
79	1	pdf-page-079	38	*bbah2/f{0-).	*bʰah₂/f{0-)	*bʰah₂/f{0-)	*bʰah₂/f{0-	low	low	trimmed_terminal_period;mechanical_character_repair	still_unresolved	aspirated_b;laryngeal_h2_explicit	*ä als DS zu grundstufigern *a rechnen will. Zu 'Buche' s. eigenen Ansatz *bbah2/f{0-).	*bʰah₂/f{0-)	*bʰah₂/f{0-	low	still_unresolved	no_pass7_change		Outside pass-7 Greek/non-Latin target set.
79	1	pdf-page-079	44	*qxx~)	*qxx~)	*qxx~)	*qxx~	low	low-greek-or-nonlatin-surrogate	greek_or_nonlatin_surrogate_unresolved	greek_unresolved;still_unresolved		(MY Ue 611.3, *qxx~); s. DMic. s.v. für alternative Vorschläge.	*φακτῆρες	*φακτῆρες	high-image-collated	image_collated;greek_repaired	image_collated_greek_line_repair	greek-script-image-collated	Visible page line reads “*φακτῆρες”; previous OCR produced *qxx~).
79	1	pdf-page-079	47	*(_)bbag-6-	*(_)bʰag-ó-	*(_)bʰag-ó-	*(_)bʰag-ó-	low	medium-repaired	mechanical_character_repair		aspirated_b;vowel_accent_surrogate_low_confidence	6 Wohl nicht aus zwei Bildungen *(_)bbag-6- 'zuteilend' und *bbag-o- (ggf. *bbog-o-) m. 'Zutei-	*(_)bʰag-ó-	*(_)bʰag-ó-	medium-repaired		no_pass7_change		Outside pass-7 Greek/non-Latin target set.
79	1	pdf-page-079	47	*bbag-o-	*bʰag-o-	*bʰag-o-	*bʰag-o-	medium	medium-repaired	mechanical_character_repair		aspirated_b	6 Wohl nicht aus zwei Bildungen *(_)bbag-6- 'zuteilend' und *bbag-o- (ggf. *bbog-o-) m. 'Zutei-	*bʰag-o-	*bʰag-o-	medium-repaired		no_pass7_change		Outside pass-7 Greek/non-Latin target set.
