printed_page	pdf_page	section_or_chapter	greek_span	risk_flags	review_priority	collation_reason	context	page_image_file
13	30	2. Sketch for a history of Indo-European poetics	κλεϝ-εσ- ἀ-φθι-το-ν		high	high-priority Greek span	comparability extended beyond the simple words to their suffixal constituents srav-as- a-ksi-ta-m, κλεϝ-εσ- ἀ-φθι-το-ν.2 What Kuhn had done was to equate two set or fixed phrases between two languages, which later theo	item1-item2-passes/greek-page-renders/page-030.png
13	30	2. Sketch for a history of Indo-European poetics	ἱερὸν μένος Ἀλκινόοιο		high	high-priority Greek span	ss 'with eager mind' (RV 8.48.7), and its exact Homeric cognate ἱερὸν μένος; in the set tag phrase (ἱερὸν μένος Ἀλκινόοιο etc.) 'holy spirit/strength (of Alkinoos)', narratologically equivalent to the proper name alone. T	item1-item2-passes/greek-page-renders/page-030.png
16	33	2. Sketch for a history of Indo-European poetics	εὐκταῖα ... χέουσα		high	high-priority Greek span	-) of a poem or prayer like a libation in Vedic (ima giro...juhomi 'I pour these songs' RV), Greek (εὐκταῖα ... χέουσα 'pouring votive prayers' Aeschylus), and Latin (fundere preces Horace, Vergil). If the Latin exampl	item1-item2-passes/greek-page-renders/page-033.png
44	61	3. Poetics as grammar: Typology of poetic devices and some rules of poetic grammar	τῶν ἄνω τε καὶ κάτω		high	high-priority Greek span	aca aniiadaca) <!-- pdf-page: 61; printed-page: 44 --> gods above and below (Greek τῶν ἄνω τε καὶ κάτω) be you god or goddess (Latin si deus si dea es). Both types of quantifier formula	item1-item2-passes/greek-page-renders/page-061.png
45	62	3. Poetics as grammar: Typology of poetic devices and some rules of poetic grammar	σῖτος καὶ οἶνος		high	high-priority Greek span	(Hittite halkieš GIŠGEŠTIN.ḪI.A) grain (bread) and wine (Greek σῖτος καὶ οἶνος / μέθυ) for all agricultural products and alimentation. We have seen MEN (and) LIVE-STOCK, TWO-FOO	item1-item2-passes/greek-page-renders/page-062.png
64	81	4. Poetics as repertory: The poetic traditions of the Indo-European world—Sources and texts	ἰθύνει σκολιόν		high	high-priority Greek span	- pdf-page: 81; printed-page: 64 --> For the former compare the proem to Hesiod, Works and Days 7, ἰθύνει σκολιόν 'he straightens the crooked', discussed in chap. 7.15 Both branches of Insular Celtic have a rich l	item1-item2-passes/greek-page-renders/page-081.png
84	101	5. The Indo-European poet: His social function and his art	τιμαλφεῖν λόγοις νίκαν		high	high-priority Greek span	ar. It is a phrase in the author's prayer to Father Zeus at the conclusion ofNemean 9, lines 54- 5: τιμαλφεῖν λόγοις νίκαν 'to do honor to victory by my words'. Honor (τιμ-) to victory (νίκαν) is conferred by the poetic me	item1-item2-passes/greek-page-renders/page-101.png
84	101	5. The Indo-European poet: His social function and his art	τιμαλφεῖν λόγοις νίκαν		high	high-priority Greek span	rize of honor, but it is the victory (νίκαν) which is the accusative in our passage. The meaning of τιμαλφεῖν λόγοις νίκαν is thus 'make victory fetch the prize of honor by my words'. The phrase is a good illustration of t	item1-item2-passes/greek-page-renders/page-101.png
166	183	13. An Indo-European stylistic figure	ἐρᾶι μὲν ἁγνὸς οὐρανὸς τρῶσαι χθόνα ἔρως δὲ γαῖαν λαμβάνει γάμου τυχεῖν	internal spacing	high	high-priority Greek span; risk flag: internal spacing	in call attention to the figure. A striking example is Aeschylus f. 44.1-2: ```text ἐρᾶι μὲν ἁγνὸς οὐρανὸς τρῶσαι χθόνα ἔρως δὲ γαῖαν λαμβάνει γάμου τυχεῖν Holy heaven yearns to wound the earth, and yearning seizes earth to	item1-item2-passes/greek-page-renders/page-183.png
364	381	36. The myth in Greece: Variations on the formula and theme	ὀφιώδεος ... Γοργόνος		high	high-priority Greek span	ere in Greek is precisely our Vedic dhann dhim, down to the very word order. Combining the syntagms ὀφιώδεος ... Γοργόνος and ἔπεφνεν Γοργόνα we can restore the real mythographic formula, just below the surface: he slew	item1-item2-passes/greek-page-renders/page-381.png
364	381	36. The myth in Greece: Variations on the formula and theme	ἔπεφνεν Γοργόνα		high	high-priority Greek span	our Vedic dhann dhim, down to the very word order. Combining the syntagms ὀφιώδεος ... Γοργόνος and ἔπεφνεν Γοργόνα we can restore the real mythographic formula, just below the surface: he slew the serpent. Note a	item1-item2-passes/greek-page-renders/page-381.png
368	385	36. The myth in Greece: Variations on the formula and theme	γεφύρωσε ... νόστον		high	high-priority Greek span; dense Greek/formula page	ther heroes. ``` ```text Homeric formulaic reminiscences—down to the order of the elements—include γεφύρωσε ... νόστον (Il. 15.357 γεφύρωσεν δὲ κέλευθον 'bridged a way'), ἷνας ἐκταμὼν (Il. 17.522 ἷνα τάμῃ διά 'cut thro	item1-item2-passes/greek-page-renders/page-385.png
368	385	36. The myth in Greece: Variations on the formula and theme	γεφύρωσεν δὲ κέλευθον		high	high-priority Greek span; dense Greek/formula page	c formulaic reminiscences—down to the order of the elements—include γεφύρωσε ... νόστον (Il. 15.357 γεφύρωσεν δὲ κέλευθον 'bridged a way'), ἷνας ἐκταμὼν (Il. 17.522 ἷνα τάμῃ διά 'cut through the sinew'),... μάχας ... ἔργο	item1-item2-passes/greek-page-renders/page-385.png
