line,type,before,after
709,merged_false_heading_into_discussion,"#### The / **PIE** anlaut of the root defies reconstruction. Toch. B antapi, antpi, and Gk. aµcpw seem to reflect *h2nt-bhoh1 (Jasanoff 1976), which does not match Skt. ubha- and Go. bai. In Latvian, the original NAdu. m. ending -u, which is recorded in dialects and old texts, was replaced by the plural ending -i. Subsequently, the NAdu. f. ending was replaced by -as. A system with m. abi vs. f. abi is attested in East Latvian (Endzelins 1922a: 359-360).","The PIE anlaut of the root defies reconstruction. Toch. B antapi, antpi, and Gk. aµcpw seem to reflect *h2nt-bhoh1 (Jasanoff 1976), which does not match Skt. ubha- and Go. bai. In Latvian, the original NAdu. m. ending -u, which is recorded in dialects and old texts, was replaced by the plural ending -i. Subsequently, the NAdu. f. ending was replaced by -as. A system with m. abi vs. f. abi is attested in East Latvian (Endzelins 1922a: 359-360)."
1525,merged_false_heading_into_discussion,#### The / **PIE** date of the i-stam is not beyond doubt.,The PIE date of the i-stam is not beyond doubt.
5539,merged_false_heading_into_discussion,#### Therootis / **PIE** *(s )gwes-.,The root is PIE *(s )gwes-.
6283,merged_false_heading_into_discussion,#### I assume that both / **PSL** *va(n) and Lith. į continue the zero grade of PIE *h1en 'in' (→ Latv. le-),I assume that both PSL *va(n) and Lith. į continue the zero grade of PIE *h1en 'in' (→ Latv. le-)
6902,merged_false_heading_into_discussion,"#### This form is based on the / **PIE** interrogative pronoun *kwa-. In view of Winter's law, the element -d- must continue *dh not *d. Note Skt. kada 'when' is not an exact match, as the Lithuanian form has -a < *-q, cf. kadangi 'as, because' and E. Lith. kadu.","This form is based on the PIE interrogative pronoun *kwa-. In view of Winter's law, the element -d- must continue *dh not *d. Note Skt. kada 'when' is not an exact match, as the Lithuanian form has -a < *-q, cf. kadangi 'as, because' and E. Lith. kadu."
7576,merged_false_heading_into_discussion,#### The variation between / **BSL** *k- and *s- (→šermitksnis) points to an initial palatovelar. The plain velar may have arisen before *r. In this connection it should be noted that the cognates outside Balto-Slavic with full grade of the root reflect *krem- or *krominstead of *kerm-. The suffix was apparently *-us-.,The variation between BSL *k- and *s- (→šermitksnis) points to an initial palatovelar. The plain velar may have arisen before *r. In this connection it should be noted that the cognates outside Balto-Slavic with full grade of the root reflect *krem- or *krominstead of *kerm-. The suffix was apparently *-us-.
7901,merged_false_heading_into_discussion,"#### The root of this noun is / **PIE** *(s)ker-, cf. Gk. Kelpw 'shear', clip, crop', Olc. skera 'cut'. In view of the tone of the root, kirvis must be separated from →skirti.","The root of this noun is PIE *(s)ker-, cf. Gk. Kelpw 'shear', clip, crop', Olc. skera 'cut'. In view of the tone of the root, kirvis must be separated from →skirti."
7952,merged_false_heading_into_discussion,"#### The root of this adjective is / **PIE** *klei- (→šlieti). The k would be regular if the original form were *kloi-uo-. There is also a variant šleivas, where *k was not depalatalized. The East Latvian variant with broken tone is unexpected, but not isolated, cf. Lith. →klyvas.","The root of this adjective is PIE *klei- (→šlieti). The k would be regular if the original form were *kloi-uo-. There is also a variant šleivas, where *k was not depalatalized. The East Latvian variant with broken tone is unexpected, but not isolated, cf. Lith. →klyvas."
8024,merged_false_heading_into_discussion,"#### The root of this verb is / **PIE** *klh2u- 'close', cf. Gk. KATJic; (Ion.), Dor. tlūic; f. 'bolt, catch, hook, key, rowing pen'; Lat. clavis f. 'bolt, key', claudere 'close', SCr. kljuka 'hook, door-knob'. The palatalization of the l originates from the e-grade of the root, which may be attested in →kliauti. The reconstruction with *h2 implies that the *e of BSL *kldu is secondary. (Schrijver 1991: 175). Another possibility is to reconstruct a BSL root *kleuh2, with laryngeal metathesis. See also →kloti.","The root of this verb is PIE *klh2u- 'close', cf. Gk. KATJic; (Ion.), Dor. tlūic; f. 'bolt, catch, hook, key, rowing pen'; Lat. clavis f. 'bolt, key', claudere 'close', SCr. kljuka 'hook, door-knob'. The palatalization of the l originates from the e-grade of the root, which may be attested in →kliauti. The reconstruction with *h2 implies that the *e of BSL *kldu is secondary. (Schrijver 1991: 175). Another possibility is to reconstruct a BSL root *kleuh2, with laryngeal metathesis. See also →kloti."
8303,merged_false_heading_into_discussion,"#### Full grade is attested in / **PSL** *krux11 'chunk' < *kraus-o-, e.g. Cz. kruch 'piece, lump', SCr. kruh 'bread'. For the meaning of the root, see →krušti.","Full grade is attested in PSL *krux11 'chunk' < *kraus-o-, e.g. Cz. kruch 'piece, lump', SCr. kruh 'bread'. For the meaning of the root, see →krušti."
8526,merged_false_heading_into_discussion,"#### The ESSJa rejects the connection of / **PSL** *k'bsbn'b with the Baltic forms and links the etymon to *kysel'b 'sour' etc. As a paralleI Lat. serescere 'become dry' and serus 'beiated' are adduced, but these words may very well derive from different roots.","The ESSJa rejects the connection of PSL *k'bsbn'b with the Baltic forms and links the etymon to *kysel'b 'sour' etc. As a paralleI Lat. serescere 'become dry' and serus 'beiated' are adduced, but these words may very well derive from different roots."
8910,merged_false_heading_into_discussion,"#### Inviewof / **PIE** *lehr, cf. Hitt. [ai- l l- 'loosen, release' and *leh1d-, cf. Go. letan 'let, allow', a reconstruction *leh1id- (thus Rasmussen 1989a: 54, who posits the same root for Germanic) or *leh1idh- is tempting. In Derksen 1996 (228), I reconstructed *leh1idh-, where *dh might originate from the imperative suffix *-dhi. An etymology starting from *lehr is in conflict, however, with the broken tone of Latvian laist, which indicates that Hirt's law did not operate. Smoczynski (2007: 343) traces leisti to a present *leiH-dhe of *leiH- 'pour' (→lieti). I now prefer to reconstruct PIE *leid- ( cf. LIV: 402-403, De Vaan 2008: 351), with a Balto-Slavic acute as a result ofWinter's law.","In view of PIE *lehr, cf. Hitt. [ai- l l- 'loosen, release' and *leh1d-, cf. Go. letan 'let, allow', a reconstruction *leh1id- (thus Rasmussen 1989a: 54, who posits the same root for Germanic) or *leh1idh- is tempting. In Derksen 1996 (228), I reconstructed *leh1idh-, where *dh might originate from the imperative suffix *-dhi. An etymology starting from *lehr is in conflict, however, with the broken tone of Latvian laist, which indicates that Hirt's law did not operate. Smoczynski (2007: 343) traces leisti to a present *leiH-dhe of *leiH- 'pour' (→lieti). I now prefer to reconstruct PIE *leid- ( cf. LIV: 402-403, De Vaan 2008: 351), with a Balto-Slavic acute as a result ofWinter's law."
9917,merged_false_heading_into_discussion,"#### Therootis / **PIE** *mon-, cf. Lat. monere 'remind, urge, advise' < *mon-eie-. See also →minčti.","The root is PIE *mon-, cf. Lat. monere 'remind, urge, advise' < *mon-eie-. See also →minčti."
10076,merged_false_heading_into_discussion,"#### The / **PIE** word for 'honey' is *meli(t). The original meaning of *medhu- was probably 'intoxicating sweetened drink, mead'.","The PIE word for 'honey' is *meli(t). The original meaning of *medhu- was probably 'intoxicating sweetened drink, mead'."
11181,merged_false_heading_into_discussion,"#### For the reconstruction of the / **PIE** etymon, see Beekes 1994. A possible Old Prussian cognate is nognan (EV) 'leather'. The Balto-Slavic form is an example of Winter's law.","For the reconstruction of the PIE etymon, see Beekes 1994. A possible Old Prussian cognate is nognan (EV) 'leather'. The Balto-Slavic form is an example of Winter's law."
11184,removed_duplicate_running_head,o,
11398,merged_false_heading_into_discussion,"#### The / **PIE** root is *gwhedh-, cf. Gk. 0foaaa0m 'pray for', no0ew 'desire'. The pervasive nasal reflected by Slavic*žęd- must have originated from a nasal present.","The PIE root is *gwhedh-, cf. Gk. 0foaaa0m 'pray for', no0ew 'desire'. The pervasive nasal reflected by Slavic*žęd- must have originated from a nasal present."
11695,merged_false_heading_into_discussion,"#### This etymon is a derivative of / **PIE** *ped- 'foot', showing the effects of Winter's law (→pėda). While the Slavic adjective seems to contain a suffix *-sjo-, Lithuanian requires * -tjo-. It is unclear if the Baltic and Slavic forms continue a Balto-Slavic formation and if it contained a suffix that would have blocked Winter's law, in which case we would have to assume that the acute is analogical.","This etymon is a derivative of PIE *ped- 'foot', showing the effects of Winter's law (→pėda). While the Slavic adjective seems to contain a suffix *-sjo-, Lithuanian requires * -tjo-. It is unclear if the Baltic and Slavic forms continue a Balto-Slavic formation and if it contained a suffix that would have blocked Winter's law, in which case we would have to assume that the acute is analogical."
12629,merged_false_heading_into_discussion,"#### If this verb is cognate with / **PSL** *ruti 'roar' (e.g. OCz. fut1), Skt. ruvati 'howl, roar', Gk. wpŪoµm 'howl, cry, wail', which point to a root *h3reuH-, we may reconstruct *h3reud- (cf. Lubotsky 2012: 162-163, where we find several examples of root-final vacillation between *h1 and *d). The Baltic acute originates from Winter's law.","If this verb is cognate with PSL *ruti 'roar' (e.g. OCz. fut1), Skt. ruvati 'howl, roar', Gk. wpŪoµm 'howl, cry, wail', which point to a root *h3reuH-, we may reconstruct *h3reud- (cf. Lubotsky 2012: 162-163, where we find several examples of root-final vacillation between *h1 and *d). The Baltic acute originates from Winter's law."
14993,merged_false_heading_into_discussion,"#### The root of this noun is probably / **PIE** *kei- 'lie'. In view of the Slavic evidence, I assume that the Lithuanian e-vocalism is secondary. We may compare Go. haims f. 'village', Olc. heimr 'home, world', OHG heim < *koi-mo-. Forms such as →kiemas 'courtyard, farmstead, village', OPr. caymis, are probably borrowings from Germanic. Sabaliauskas (1990: 24) notes that in spite of the fact that in old texts we exclusively find →šeimyna, Fi. heimo and Est. hoim, which are borrowings from Baltic, testify to the antiquity of šeima.","The root of this noun is probably PIE *kei- 'lie'. In view of the Slavic evidence, I assume that the Lithuanian e-vocalism is secondary. We may compare Go. haims f. 'village', Olc. heimr 'home, world', OHG heim < *koi-mo-. Forms such as →kiemas 'courtyard, farmstead, village', OPr. caymis, are probably borrowings from Germanic. Sabaliauskas (1990: 24) notes that in spite of the fact that in old texts we exclusively find →šeimyna, Fi. heimo and Est. hoim, which are borrowings from Baltic, testify to the antiquity of šeima."
15388,merged_false_heading_into_discussion,"#### Therootis / **PIE** *kloi-, cf. →šlfeti.","The root is PIE *kloi-, cf. →šlfeti."
15583,merged_false_heading_into_discussion,"#### Therootis / **PIE** *kueit-, cf. Skt. sveta- 'white, bright', PSl. *svit11 m. o (e) 'light, world' < *kuoit-o-, e.g. OCS svet11, Ru. svet. The initial *s of the Slavic noun must be analogical, as we would expect to find depalatalization in forms with o-grade, cf. OCS cvčt11, Cz. kvėt 'flower' < *kvit11. In turn, we find analogical k- in →Latv. kvitet. See also: šviteti","The root is PIE *kueit-, cf. Skt. sveta- 'white, bright', PSl. *svit11 m. o (e) 'light, world' < *kuoit-o-, e.g. OCS svet11, Ru. svet. The initial *s of the Slavic noun must be analogical, as we would expect to find depalatalization in forms with o-grade, cf. OCS cvčt11, Cz. kvėt 'flower' < *kvit11. In turn, we find analogical k- in →Latv. kvitet. See also: šviteti"
15705,merged_false_heading_into_discussion,"#### The / **PIE** demonstrative pronoun *so, f. *seh2, n. tad, was remodelled to Balto-Slavic *tos, *ta(, *tad.","The PIE demonstrative pronoun *so, f. *seh2, n. tad, was remodelled to Balto-Slavic *tos, *ta(, *tad."
