file	width	height	epub_file	alt_or_description	nearby_before	nearby_after
media/image/Image51956.jpg	259	90	9780698155671_EPUB-10.xhtml	Source image: Irathient	While creating the spoken languages for the Syfy show Defiance , I realized that the setting provided us with a unique opportunity to develop one or more novel writing systems for our aliens. In the s	Irathient
media/image/Image51965.jpg	276	89	9780698155671_EPUB-10.xhtml	Source image: Castithan	Irathient	Castithan
media/image/Image51976.jpg	303	90	9780698155671_EPUB-10.xhtml	Source image: Indojisnen	Castithan	Indojisnen
media/image/Image78652.jpg	1628	94	9780698155671_EPUB-10.xhtml	Source figure image Image78652.jpg; no alt text supplied in EPUB	When creating a new language, the conlanger has to decide what the imaginary speakers think is correct for their own language. For example, the Dothraki have no written form of their language. This wa	Now here’s that same passage written in an ad hoc romanization system I’ve devised to help you read what the above says:
media/image/116137.jpg	1628	35	9780698155671_EPUB-10.xhtml	Source figure image 116137.jpg; no alt text supplied in EPUB	This is different from a narrow phonetic transcription, which would look something like this:	And that, of course, is different from a translation, which would be “I am a translator for the United Nations” (a key phrase all students of Arabic learn in their first year of study).
media/image/116139.jpg	174	39	9780698155671_EPUB-10.xhtml	Source figure image 116139.jpg; no alt text supplied in EPUB	And that, of course, is different from a translation, which would be “I am a translator for the United Nations” (a key phrase all students of Arabic learn in their first year of study).	For example, in Syfy’s Defiance the Irathient Spirit Rider Sukar has a pet name for Irisa, one of the show’s main characters. The name is tishinka . In Irathient’s orthography, one spells it thus:
media/image/116141.jpg	151	39	9780698155671_EPUB-10.xhtml	Source figure image 116141.jpg; no alt text supplied in EPUB	For example, in Syfy’s Defiance the Irathient Spirit Rider Sukar has a pet name for Irisa, one of the show’s main characters. The name is tishinka . In Irathient’s orthography, one spells it thus:	If I were to do a direct romanization for that word, it would be tishingkka . Why? First, you use a different glyph for the velar nasal [ŋ] than for the alveolar nasal [n] . In English, we don’t bothe
media/image/Image78666.jpg	1628	101	9780698155671_EPUB-10.xhtml	Source figure image Image78666.jpg; no alt text supplied in EPUB	For example, in Syfy’s Defiance the Irathient Spirit Rider Sukar has a pet name for Irisa, one of the show’s main characters. The name is tishinka . In Irathient’s orthography, one spells it thus:	If I were to do a direct romanization for that word, it would be tishingkka . Why? First, you use a different glyph for the velar nasal [ŋ] than for the alveolar nasal [n] . In English, we don’t bothe
media/image/Image78680.jpg	697	165	9780698155671_EPUB-10.xhtml	Source image: Gweydr’s Stone Script (David Peterson)	Often I get questions about some of the systems I’ve developed that go something like, “How do you write my name in the Castithan alphabet?” Such questions make a presumption the askers are likely not	Gweydr’s Stone Script (David Peterson)
media/image/Image78693.jpg	1239	882	9780698155671_EPUB-10.xhtml	Source image: Idrani’s Ksatlai (Trent Pehrson)	Gweydr’s Stone Script (David Peterson)	Idrani’s Ksatlai (Trent Pehrson)
media/image/Image78703.jpg	577	552	9780698155671_EPUB-10.xhtml	Source image: Kēlen’s Ceremonial Interlace Alphabet (Sylvia Sotomayor)	Idrani’s Ksatlai (Trent Pehrson)	Kēlen’s Ceremonial Interlace Alphabet (Sylvia Sotomayor)
media/image/116143.jpg	112	42	9780698155671_EPUB-10.xhtml	Source image: (Georgian)	(Armenian)	(Georgian)
media/image/116145.jpg	104	29	9780698155671_EPUB-10.xhtml	Source figure image 116145.jpg; no alt text supplied in EPUB	(Georgian)	Many alphabets on Earth have what’s known as case . This is a confusing term, as it’s identical to the term we use for noun case, but the relationship is incidental. All it refers to is a writing syst
media/image/116152.jpg	128	39	9780698155671_EPUB-10.xhtml	Source figure image 116152.jpg; no alt text supplied in EPUB	In alphabets, one letter stands for one sound in an ideal case, but those letters aren’t always used for the same sounds. Consider the varying pronunciations of O in American English:	In addition, sometimes combinations of letters are used for single sounds:
media/image/116154.jpg	192	39	9780698155671_EPUB-10.xhtml	Source figure image 116154.jpg; no alt text supplied in EPUB	In alphabets, one letter stands for one sound in an ideal case, but those letters aren’t always used for the same sounds. Consider the varying pronunciations of O in American English:	In addition, sometimes combinations of letters are used for single sounds:
media/image/116156.jpg	147	37	9780698155671_EPUB-10.xhtml	Source figure image 116156.jpg; no alt text supplied in EPUB	In alphabets, one letter stands for one sound in an ideal case, but those letters aren’t always used for the same sounds. Consider the varying pronunciations of O in American English:	In addition, sometimes combinations of letters are used for single sounds:
media/image/116158.jpg	163	37	9780698155671_EPUB-10.xhtml	Source figure image 116158.jpg; no alt text supplied in EPUB	In alphabets, one letter stands for one sound in an ideal case, but those letters aren’t always used for the same sounds. Consider the varying pronunciations of O in American English:	In addition, sometimes combinations of letters are used for single sounds:
media/image/116160.jpg	91	37	9780698155671_EPUB-10.xhtml	Source figure image 116160.jpg; no alt text supplied in EPUB	In alphabets, one letter stands for one sound in an ideal case, but those letters aren’t always used for the same sounds. Consider the varying pronunciations of O in American English:	In addition, sometimes combinations of letters are used for single sounds:
media/image/116162.jpg	112	40	9780698155671_EPUB-10.xhtml	Source figure image 116162.jpg; no alt text supplied in EPUB	In alphabets, one letter stands for one sound in an ideal case, but those letters aren’t always used for the same sounds. Consider the varying pronunciations of O in American English:	In addition, sometimes combinations of letters are used for single sounds:
media/image/116164.jpg	52	39	9780698155671_EPUB-10.xhtml	Source figure image 116164.jpg; no alt text supplied in EPUB	In addition, sometimes combinations of letters are used for single sounds:	And on certain occasions, single letters are used to express series of sounds:
media/image/116166.jpg	71	37	9780698155671_EPUB-10.xhtml	Source figure image 116166.jpg; no alt text supplied in EPUB	In addition, sometimes combinations of letters are used for single sounds:	And on certain occasions, single letters are used to express series of sounds:
media/image/116169.jpg	94	37	9780698155671_EPUB-10.xhtml	Source figure image 116169.jpg; no alt text supplied in EPUB	In addition, sometimes combinations of letters are used for single sounds:	And on certain occasions, single letters are used to express series of sounds:
media/image/116171.jpg	171	48	9780698155671_EPUB-10.xhtml	Source figure image 116171.jpg; no alt text supplied in EPUB	In addition, sometimes combinations of letters are used for single sounds:	And on certain occasions, single letters are used to express series of sounds:
media/image/116198.jpg	87	37	9780698155671_EPUB-10.xhtml	Source figure image 116198.jpg; no alt text supplied in EPUB	And on certain occasions, single letters are used to express series of sounds:	Crucially, though, alphabets take as basic the sound, rather than the syllable or some larger unit. Cases like the letter X in English or the letter Ψ in Greek which stands for [ps] are the exception,
media/image/116200.jpg	120	37	9780698155671_EPUB-10.xhtml	Source figure image 116200.jpg; no alt text supplied in EPUB	And on certain occasions, single letters are used to express series of sounds:	Crucially, though, alphabets take as basic the sound, rather than the syllable or some larger unit. Cases like the letter X in English or the letter Ψ in Greek which stands for [ps] are the exception,
