source_pdf_page	markdown_line	issue	text
81	2340	explicit_greek_pseudo_ocr_risk	                                   gr. qJEpw 'trage, bringe'
81	2351	explicit_greek_pseudo_ocr_risk	Iterativ    * bhor-eje-           gr. φορέω 'trage'
105	3306	explicit_greek_pseudo_ocr_risk	  1 5  Könnte anders als hom. φύομαι auf altes *phüje- zurückgehen, falls nicht einfach der Langvo    kal aus Aor. und Fut. übernommen ist (zu angeblichem äol. <pv[w s. TUCKER 386). KLINGEN   SCHMITT 22277 setzt wegen gr. <pfw n. 'Keim, Sproß' lautgesetzliches *bʰlje- < *bʰüje- an,
112	3603	explicit_greek_pseudo_ocr_risk	         Im Gr. auch transitiv '(ver)jagen', im Ved. spezialisiert auf '(in der Luft) dahinjagen' --+ 'flie             gen'; skeptisch zur Verbindung des gr. mit dem ved. Verbum FRISK I 399; EWAia I 701 .
113	3646	explicit_greek_pseudo_ocr_risk	                                 ?[gr. &i&xaraz 'begrüßen'6
113	3649	explicit_greek_pseudo_ocr_risk	                                          gr. e&il;a 'zeigte'
115	3714	explicit_greek_pseudo_ocr_risk	                                                                                                                                     .                                    gr. uOK'Bl5:'    т . sc h emt ,)9
120	3923	explicit_greek_pseudo_ocr_risk	   Gen. (analog.) *dem-s (aav. däi:ig paiti-, gr. &u- Jr6r17q).
123	4047	explicit_greek_pseudo_ocr_risk	    gr. ß<i:A.:A.w < *ßa:A. vw ć *gʷafne- < *gʷj-n-hr, gr. Kaμvw ć 3p *kam-n-onti ć *kam-n-anti <
125	4121	explicit_greek_pseudo_ocr_risk	                  R(e)-je-Präs.      gr. (Hdt.+) &ipw 'häute ab'8
150	5155	explicit_greek_pseudo_ocr_risk	                                   ?[gr. tvBpefv· cpvA.aaan v Hsch. '(be)wachen'1
153	5293	explicit_greek_pseudo_ocr_risk	"Aorist     *dʰeygʰ-ld17ugʰ-        [gr. t'rvxov 'traf 1"""
154	5308	explicit_greek_pseudo_ocr_risk	                   n-Infix-Präs.      gr. wrxavw 'erreiche das Ziel, treffe; es gelingt'
154	5312	explicit_greek_pseudo_ocr_risk	                  Fientiv             [gr. s-Aor. trvx77aa 'traf6
155	5377	explicit_greek_pseudo_ocr_risk	                                        [gr. hom.(ion.) rpOtvw, att. ip(}ivw, kret. lfllVW
156	5411	explicit_greek_pseudo_ocr_risk	    *tkej), gr. ἄφθιτον ὕδωρ Hes. 'unversiegliches Wasser', ved. utsam   . . . dk§itam 'unversiegli   chen Quell'; im Uridg. dann auch in übertragener Bedeutung infolge metaphorische Verwen   dung, vgl. gr. hom.+ κλέος ἄφθιτον, ved . .fravas „ . ak§itam 'unvergänglicher Ruhm' [unclear] *'un   verwelklicher bzw. unversieglicher Ruhm'; s. LIPP 4.8.4.2. (vgl. von *tek- 'zeugen' abgeleite    tes **tk-ejli- 'Landbau treiben', s. Anm.  1 zu *tkej-).
157	5460	explicit_greek_pseudo_ocr_risk	26   Analog nach Präs. att. rpBivw; zu den verschiedenen gr. Formen WACKERNAGEL, Unters. 75-7,
160	5578	explicit_greek_pseudo_ocr_risk	          *dʰrey-e-           gr. trag.-lyr. epioμai 'rufe aus, kreische'
160	5580	explicit_greek_pseudo_ocr_risk	                                     gr. trag.-lyr. (Jpoiw 'verkünde, schreie'
