page,line_on_page,prefix,form,display_form,context
3,37,,*ses(i)o´s,*ses(i)o´s,*ses(i)o´s ‘± grain’
3,38,,*meiǵh-,*meiǵh-,*meiǵh- ‘± grain’
3,39,,*h3eke´teha-,*h3eke´teha-,*h3eke´teha- ‘harrow’
3,40,,*ye´wos,*ye´wos,"*ye´wos ‘±grain,? barley,? wheat’"
3,41,,*h2eḱstı´-,*h2eḱstı´-,*h2eḱstı´- ‘awn’
3,42,,*seh1-,*seh1-,*seh1- ‘sow’
3,43,,*ǵrhano´m,*ǵrhano´m,"*ǵrhano´m ‘± grain,? barley’"
3,44,,*h2e´reh2-,*h2e´reh2-,*h2e´reh2- ‘weed/rye’
3,45,,*wers-,*wers-,*wers- ‘thresh’
3,46,,*ǵhresdhi-,*ǵhresdhi-,*ǵhresdhi- ‘± grain’
3,47,,*ālu-,*ālu-,*ālu- ‘esculent root’
3,48,,*melh2-,*melh2-,*melh2- ‘grind’
3,49,,*bhars-,*bhars-,*bhars- ‘± grain’
3,50,,*keres-,*keres-,*keres- ‘millet’
3,51,,*peis-,*peis-,*peis- ‘grind’
3,52,,*dhohxne´h2-,*dhohxne´h2-,*dhohxne´h2- ‘± grain’
3,53,,*pano-,*pano-,*pano- ‘millet’
3,54,,*h2el-,*h2el-,*h2el- ‘grind’
3,55,,*drhxweh2-,*drhxweh2-,*drhxweh2- ‘± grain’
3,56,,*kāpos,*kāpos,*kāpos ‘field’
3,57,,*srpo/eh2-,*srpo/eh2-,*srpo/eh2- ‘sickle’
3,58,,*h2ed-,*h2ed-,*h2ed- ‘± grain’
3,59,,*h2e´rh3ye/o-,*h2e´rh3ye/o-,*h2e´rh3ye/o- ‘plough’
3,60,,*gwre´hawon,*gwre´hawon,*gwre´hawon ‘quern’
3,61,,*h2elbhit-,*h2elbhit-,"*h2elbhit- ‘± grain,? barley’"
3,62,,*ghel-,*ghel-,*ghel- ‘plough’
5,18,?,*bʰar-(e)s-,?*bʰar-(e)s-,"?*bʰar-(e)s- (*bhares- [44:111]; *bʰárs, gen. *bʰarés(o)s? ‘barley’ [18:51]; *bhars- [19:57]; *bʰars"
5,18,,*bhares-,*bhares-,"?*bʰar-(e)s- (*bhares- [44:111]; *bʰárs, gen. *bʰarés(o)s? ‘barley’ [18:51]; *bhars- [19:57]; *bʰars"
5,18,,*bʰárs,*bʰárs,"?*bʰar-(e)s- (*bhares- [44:111]; *bʰárs, gen. *bʰarés(o)s? ‘barley’ [18:51]; *bhars- [19:57]; *bʰars"
5,18,,*bʰarés(o)s?,*bʰarés(o)s?,"?*bʰar-(e)s- (*bhares- [44:111]; *bʰárs, gen. *bʰarés(o)s? ‘barley’ [18:51]; *bhars- [19:57]; *bʰars"
5,18,,*bhars-,*bhars-,"?*bʰar-(e)s- (*bhares- [44:111]; *bʰárs, gen. *bʰarés(o)s? ‘barley’ [18:51]; *bhars- [19:57]; *bʰars"
5,18,,*bʰars,*bʰars,"?*bʰar-(e)s- (*bhares- [44:111]; *bʰárs, gen. *bʰarés(o)s? ‘barley’ [18:51]; *bhars- [19:57]; *bʰars"
5,20,,*borsˇ-ьno-,*borsˇ-ьno-,"‘flour, food’ < *borsˇ-ьno-; Go. bariz-eins a. ‘barley-’, ON barr m. ‘grain, barley’, OE bere m."
5,21,,*bariz-,*bariz-,"‘barley’ < PGm. *bariz-; Lat. far, gen. farris n. ‘husked wheat, emmer; grain, flour’, Umbr."
5,22,,*fars-,*fars-,"far ‘flour, meal’ < PIt. *fars-"
5,23,,*bʰar-(e)s-,*bʰar-(e)s-,"This European word is traditionally reconstructed as a PIE s-stem *bʰar-(e)s-, with *a in the"
5,23,,*a,*a,"This European word is traditionally reconstructed as a PIE s-stem *bʰar-(e)s-, with *a in the"
5,24,,*borš-,*borš-,"root and suffixal ablaut found between Lat. far, PSl. *borš- < *bʰar-s- and Go. bariz-, ON barr,"
5,24,,*bʰar-s-,*bʰar-s-,"root and suffixal ablaut found between Lat. far, PSl. *borš- < *bʰar-s- and Go. bariz-, ON barr,"
5,25,,*bʰar-es-.,*bʰar-es-.,"OE bere < *bʰar-es-. A proposed Iranian cognate, Oss. I bur-xor, D bor-xwar ‘proso millet’"
5,26,,*au.,*au.,"[19:57; 21:54], is phonologically incompatible, as the Ossetic vocalism points to PIr. *au."
5,29,,*far-os,*far-os,"ing that PIt. *far-os, *-es- < *bʰr̥H-os, *-es-, with the zero grade of a laryngealic root and regu-"
5,29,,*-es-,*-es-,"ing that PIt. *far-os, *-es- < *bʰr̥H-os, *-es-, with the zero grade of a laryngealic root and regu-"
5,29,,*bʰr̥H-os,*bʰr̥H-os,"ing that PIt. *far-os, *-es- < *bʰr̥H-os, *-es-, with the zero grade of a laryngealic root and regu-"
5,29,,*-es-,*-es-,"ing that PIt. *far-os, *-es- < *bʰr̥H-os, *-es-, with the zero grade of a laryngealic root and regu-"
5,30,,*bъrъ,*bъrъ,"lar assimilation of the final syllable. PSl. *bъrъ, cf. Ru. bor, Pol. ber, SCr., Sln. bȃr m. ‘(foxtail)"
5,32,,*fars-ejo-,*fars-ejo-,"reum’ < PIt. *fars-ejo- cannot be derived from syncopated *fare/os-ejo-, as this would have"
