pdf_page	printed_page	page_anchor	source_candidate_pdf_text	normalized_candidate_pass6	normalized_candidate_pass7	lookup_candidate_pass7	confidence_pass7	repair_actions_pass7	issue_bucket_pass7	greek_nonlatin_class_pass7	pass7_note	context_line_pdf_text
79	1	pdf-page-079	*ä	*ä	*ā	*ā	medium-repaired-greek-nonlatin-pass7	repaired_latin_macron_surrogates	nonlatin_repaired	latin-script-macron-surrogate	In lexical-form candidates, OCR ä/ö/ü/O were normalized as ā/ō/ū/ō where no opaque Greek/script surrogate or embedded gloss was present.	*ä als DS zu grundstufigern *a rechnen will. Zu 'Buche' s. eigenen Ansatz *bbah2/f{0-).
79	1	pdf-page-079	*qxx~)	*qxx~)	*φακτῆρες	*φακτῆρες	high-image-collated	image_collated_greek_line_repair	image_collated;greek_repaired	greek-script-image-collated	Visible page line reads “*φακτῆρες”; previous OCR produced *qxx~).	(MY Ue 611.3, *qxx~); s. DMic. s.v. für alternative Vorschläge.
80	2	pdf-page-080	*bOk-ö-	*bOk-ö-	*bōk-ō-	*bōk-ō-	medium-repaired-greek-nonlatin-pass7	repaired_latin_macron_surrogates	nonlatin_repaired	latin-script-macron-surrogate	In lexical-form candidates, OCR ä/ö/ü/O were normalized as ā/ō/ū/ō where no opaque Greek/script surrogate or embedded gloss was present.	[germ. *bOk-ö- f. in got. boka 'Buchstabe', PI. 'Schrift(stück),
81	3	pdf-page-081	*bök-	*bök-	*bōk-	*bōk-	medium-repaired-greek-nonlatin-pass7	repaired_latin_macron_surrogates	nonlatin_repaired	latin-script-macron-surrogate	In lexical-form candidates, OCR ä/ö/ü/O were normalized as ā/ō/ū/ō where no opaque Greek/script surrogate or embedded gloss was present.	448). Wenn diese Erklärung zutrifft, wäre germ. *bök- ebenso wie germ. *bök-ö- (s.u.) viel-
81	3	pdf-page-081	*bök-ö-	*bök-ö-	*bōk-ō-	*bōk-ō-	medium-repaired-greek-nonlatin-pass7	repaired_latin_macron_surrogates	nonlatin_repaired	latin-script-macron-surrogate	In lexical-form candidates, OCR ä/ö/ü/O were normalized as ā/ō/ū/ō where no opaque Greek/script surrogate or embedded gloss was present.	448). Wenn diese Erklärung zutrifft, wäre germ. *bök- ebenso wie germ. *bök-ö- (s.u.) viel-
83	5	pdf-page-083	*barzdä	*barzdä	*barzdā	*barzdā	medium-repaired-greek-nonlatin-pass7	repaired_latin_macron_surrogates	nonlatin_repaired	latin-script-macron-surrogate	In lexical-form candidates, OCR ä/ö/ü/O were normalized as ā/ō/ū/ō where no opaque Greek/script surrogate or embedded gloss was present.	Kontamination mit einem im Balt. nicht belegten Wort für 'Furche' (balt. *barzdä = slav.
84	6	pdf-page-084	*baidäwurde	*baidäwurde	*baidā	*baidā	filtered-noise-fragment	trimmed_obvious_nonlexical_tail_for_lookup;marked_candidate_boundary_noise	greek_unresolved;still_unresolved;candidate_boundary_noise	candidate-boundary-noise-with-nonlatin	Candidate includes source prose or gloss captured as part of a form; lookup trimmed only where mechanically obvious.	*baidäwurde im Dialekt des Autors des Elbinger Vokabulars zum u-8tamm umgestaltet. Vgl.
85	7	pdf-page-085	*-bhäiin	*-bhäiin	*-bhāiin	*-bhāiin	medium-repaired-greek-nonlatin-pass7	repaired_latin_macron_surrogates	nonlatin_repaired	latin-script-macron-surrogate	In lexical-form candidates, OCR ä/ö/ü/O were normalized as ā/ō/ū/ō where no opaque Greek/script surrogate or embedded gloss was present.	germ. DSg. *-bhäiin got. ibai'doch nicht etwa, daß nicht' usw.7
85	7	pdf-page-085	*-löä-z.B.	*-löä-z.B	*-lōā-	*-lōā-	filtered-noise-fragment	trimmed_obvious_nonlexical_tail_for_lookup;marked_candidate_boundary_noise	greek_unresolved;still_unresolved;candidate_boundary_noise	candidate-boundary-noise-with-nonlatin	Candidate includes source prose or gloss captured as part of a form; lookup trimmed only where mechanically obvious.	?[balt. Suffix *-löä-z.B. in lit. dBJjbaf. (1) 'Bildung',lett.akIiba
86	8	pdf-page-086	*-abäund	*-abäund	*-abāund	*-abāund	medium-repaired-greek-nonlatin-pass7	repaired_latin_macron_surrogates	nonlatin_repaired	latin-script-macron-surrogate	In lexical-form candidates, OCR ä/ö/ü/O were normalized as ā/ō/ū/ō where no opaque Greek/script surrogate or embedded gloss was present.	3 Vokalisch erweiterte Suffixe *-abäund '-iMwie im Balt. und Slav. nimmt OREL 2000,152 in
90	12	pdf-page-090	*baidö-	*baidö-	*baidō-	*baidō-	medium-repaired-greek-nonlatin-pass7	repaired_latin_macron_surrogates	nonlatin_repaired	latin-script-macron-surrogate	In lexical-form candidates, OCR ä/ö/ü/O were normalized as ā/ō/ū/ō where no opaque Greek/script surrogate or embedded gloss was present.	germ. *baidö- f. in ae. Md f. ä 'Pfand; Erwartung', [ahd. bila f.
91	13	pdf-page-091	*bbeh/db..'bedrängen'	*bʰeh/dʰ..’bedrängen’	*bbeh/db	*bbeh/db	filtered-noise-fragment	trimmed_obvious_nonlexical_tail_for_lookup;marked_candidate_boundary_noise	greek_unresolved;still_unresolved;candidate_boundary_noise	candidate-boundary-noise-with-nonlatin	Candidate includes source prose or gloss captured as part of a form; lookup trimmed only where mechanically obvious.	bedti 'Not, Kummer' zu *bbeh/db..'bedrängen' zu stellen.
102	24	pdf-page-102	*berija/ontiwürde	*berija/ontiwürde	*berija/ontiwūrde	*berija/ontiwūrde	medium-repaired-greek-nonlatin-pass7	repaired_latin_macron_surrogates	nonlatin_repaired	latin-script-macron-surrogate	In lexical-form candidates, OCR ä/ö/ü/O were normalized as ā/ō/ū/ō where no opaque Greek/script surrogate or embedded gloss was present.	sultierende *berija/ontiwürde sowohl die Hebung des Wunelvokals als auch die scheinbare
104	26	pdf-page-104	*bar-ö-gestellt	*bar-ö-gestellt	*bar-ō-	*bar-ō-	filtered-noise-fragment	trimmed_obvious_nonlexical_tail_for_lookup;marked_candidate_boundary_noise	greek_unresolved;still_unresolved;candidate_boundary_noise	candidate-boundary-noise-with-nonlatin	Candidate includes source prose or gloss captured as part of a form; lookup trimmed only where mechanically obvious.	zu *bborahr > germ. *bar-ö-gestellt werden könnte.
105	27	pdf-page-105	*bber-äs	*bʰer-äs	*bʰer-ās	*bʰer-ās	medium-repaired-greek-nonlatin-pass7	repaired_latin_macron_surrogates	nonlatin_repaired	latin-script-macron-surrogate	In lexical-form candidates, OCR ä/ö/ü/O were normalized as ā/ō/ū/ō where no opaque Greek/script surrogate or embedded gloss was present.	IEW 130, ABO 26); *bber-po- (HAMP, BSL 66 (1971), 220); *bber-äs, belebter s-Stamm
109	31	pdf-page-109	*bbrgb_pöt-	*bʰrgʰ_pöt-	*bʰrgʰ_pōt-	*bʰrgʰ_pōt-	medium-repaired-greek-nonlatin-pass7	repaired_latin_macron_surrogates	nonlatin_repaired	latin-script-macron-surrogate	In lexical-form candidates, OCR ä/ö/ü/O were normalized as ā/ō/ū/ō where no opaque Greek/script surrogate or embedded gloss was present.	*bbrgb_pöt-
111	33	pdf-page-111	*bardälla-	*bardälla-	*bardālla-	*bardālla-	medium-repaired-greek-nonlatin-pass7	repaired_latin_macron_surrogates	nonlatin_repaired	latin-script-macron-surrogate	In lexical-form candidates, OCR ä/ö/ü/O were normalized as ā/ō/ū/ō where no opaque Greek/script surrogate or embedded gloss was present.	13 Ein entsprechender. u-St. wird auch als Basis von npers. bälä 'Höhe' < *bardälla- angenom-
112	34	pdf-page-112	*ba.razmän-	*ba.razmän-	*ba.razmān-	*ba.razmān-	medium-repaired-greek-nonlatin-pass7	repaired_latin_macron_surrogates	nonlatin_repaired	latin-script-macron-surrogate	In lexical-form candidates, OCR ä/ö/ü/O were normalized as ā/ō/ū/ō where no opaque Greek/script surrogate or embedded gloss was present.	usvon dem mask. Kollekt. *ba.razmän- (s.o. Anm.l0).
112	34	pdf-page-112	*bbrgb..öt-	*bʰrgʰ..öt-	*bʰrgʰ..ōt-	*bʰrgʰ..ōt-	medium-repaired-greek-nonlatin-pass7	repaired_latin_macron_surrogates	nonlatin_repaired	latin-script-macron-surrogate	In lexical-form candidates, OCR ä/ö/ü/O were normalized as ā/ō/ū/ō where no opaque Greek/script surrogate or embedded gloss was present.	etwas anders DE BERNARDO STEMPEL, ZCP 49-50, 94ff.: *bbrgb..öt-; s. auch IRSLINGER 2002,
112	34	pdf-page-112	*-yöt-	*-yöt-	*-yōt-	*-yōt-	medium-repaired-greek-nonlatin-pass7	repaired_latin_macron_surrogates	nonlatin_repaired	latin-script-macron-surrogate	In lexical-form candidates, OCR ä/ö/ü/O were normalized as ā/ō/ū/ō where no opaque Greek/script surrogate or embedded gloss was present.	48f. Wenn *-yöt- anzusetzen ist, kann diese Form, wie auch die folgende, als Umbildung eines
113	35	pdf-page-113	*bbös-to-	*bʰös-to-	*bʰōs-to-	*bʰōs-to-	medium-repaired-greek-nonlatin-pass7	repaired_latin_macron_surrogates	nonlatin_repaired	latin-script-macron-surrogate	In lexical-form candidates, OCR ä/ö/ü/O were normalized as ā/ō/ū/ō where no opaque Greek/script surrogate or embedded gloss was present.	*bbös-to-
113	35	pdf-page-113	*-gbö	*-gʰö	*-gʰō	*-gʰō	medium-repaired-greek-nonlatin-pass7	repaired_latin_macron_surrogates	nonlatin_repaired	latin-script-macron-surrogate	In lexical-form candidates, OCR ä/ö/ü/O were normalized as ā/ō/ū/ō where no opaque Greek/script surrogate or embedded gloss was present.	(11.+) aufgefaßt werden, vgl. GEW 11 1141, DELG 1294f. Das Verb endet auf -Xeo < *-gbö
121	43	pdf-page-121	*bruw-än-	*bruw-än-	*bruw-ān-	*bruw-ān-	medium-repaired-greek-nonlatin-pass7	repaired_latin_macron_surrogates	nonlatin_repaired	latin-script-macron-surrogate	In lexical-form candidates, OCR ä/ö/ü/O were normalized as ā/ō/ū/ō where no opaque Greek/script surrogate or embedded gloss was present.	PENTROG könnte der Sg. an. bnin < germ. *bruw-än- Umbildung einer Dualform *bruw-ä
121	43	pdf-page-121	*bruw-ä	*bruw-ä	*bruw-ā	*bruw-ā	medium-repaired-greek-nonlatin-pass7	repaired_latin_macron_surrogates	nonlatin_repaired	latin-script-macron-surrogate	In lexical-form candidates, OCR ä/ö/ü/O were normalized as ā/ō/ū/ō where no opaque Greek/script surrogate or embedded gloss was present.	PENTROG könnte der Sg. an. bnin < germ. *bruw-än- Umbildung einer Dualform *bruw-ä
121	43	pdf-page-121	*brewö-	*brewö-	*brewō-	*brewō-	medium-repaired-greek-nonlatin-pass7	repaired_latin_macron_surrogates	nonlatin_repaired	latin-script-macron-surrogate	In lexical-form candidates, OCR ä/ö/ü/O were normalized as ā/ō/ū/ō where no opaque Greek/script surrogate or embedded gloss was present.	"Anm.41 schließt indessen eine alte Kontamination dieser Formen mit germ. *brewö- ""derived"
122	44	pdf-page-122	*bbruH-ön-	*bʰruH-ön-	*bʰruH-ōn-	*bʰruH-ōn-	medium-repaired-greek-nonlatin-pass7	repaired_latin_macron_surrogates	nonlatin_repaired	latin-script-macron-surrogate	In lexical-form candidates, OCR ä/ö/ü/O were normalized as ā/ō/ū/ō where no opaque Greek/script surrogate or embedded gloss was present.	mehrdeutig. Nach DTB 374 liegt n-stämmiges *bbruH-ön- zugrunde, das sich genau mit an.
126	48	pdf-page-126	*büra-m./n.	*büra-m./n	*būra-m./n	*būra-m./n	medium-repaired-greek-nonlatin-pass7	repaired_latin_macron_surrogates	nonlatin_repaired	latin-script-macron-surrogate	In lexical-form candidates, OCR ä/ö/ü/O were normalized as ā/ō/ū/ō where no opaque Greek/script surrogate or embedded gloss was present.	germ. *büra-m./n. 'kleines Haus' in an. brir'Kammer, Stube,
135	57	pdf-page-135	*-tä-.	*-tä-	*-tā-	*-tā-	medium-repaired-greek-nonlatin-pass7	repaired_latin_macron_surrogates	nonlatin_repaired	latin-script-macron-surrogate	In lexical-form candidates, OCR ä/ö/ü/O were normalized as ā/ō/ū/ō where no opaque Greek/script surrogate or embedded gloss was present.	79 Stammbildung nicht eindeutig; aufgrund fehlender Senkung des Wurzelvokals kein *-tä-.
139	61	pdf-page-139	?*dh3-yön}1	?*dh₃-yön}1	?*dh₃-yōn}1	*dh₃-yōn}1	medium-repaired-greek-nonlatin-pass7	repaired_latin_macron_surrogates	nonlatin_repaired	latin-script-macron-surrogate	In lexical-form candidates, OCR ä/ö/ü/O were normalized as ā/ō/ū/ō where no opaque Greek/script surrogate or embedded gloss was present.	?*dh3-yön}1
140	62	pdf-page-140	*-däta-	*-däta-	*-dāta-	*-dāta-	medium-repaired-greek-nonlatin-pass7	repaired_latin_macron_surrogates	nonlatin_repaired	latin-script-macron-surrogate	In lexical-form candidates, OCR ä/ö/ü/O were normalized as ā/ō/ū/ō where no opaque Greek/script surrogate or embedded gloss was present.	Mitanni woW *-däta- 'geschenkt' in *Suvar-däta- ID. PN76
141	63	pdf-page-141	*(-)detöhrt-	*(-)detöhrt-	*(-)detōhrt-	*(-)detōhrt-	medium-repaired-greek-nonlatin-pass7	repaired_latin_macron_surrogates	nonlatin_repaired	latin-script-macron-surrogate	In lexical-form candidates, OCR ä/ö/ü/O were normalized as ā/ō/ū/ō where no opaque Greek/script surrogate or embedded gloss was present.	5 Auch Dehnstufe *(-)detöhrt- ist lautlich möglich, vgl. SCHRUVER 1991,147.
142	64	pdf-page-142	*väjada-	*väjada-	*vājada-	*vājada-	medium-repaired-greek-nonlatin-pass7	repaired_latin_macron_surrogates	nonlatin_repaired	latin-script-macron-surrogate	In lexical-form candidates, OCR ä/ö/ü/O were normalized as ā/ō/ū/ō where no opaque Greek/script surrogate or embedded gloss was present.	IOVgl. SCARlATA, 200f.: Alternativ zu NOD 'stoßen'. Weiterhin vieIleicht *väjada- 'zu einem
142	64	pdf-page-142	*litön-	*litön-	*litōn-	*litōn-	medium-repaired-greek-nonlatin-pass7	repaired_latin_macron_surrogates	nonlatin_repaired	latin-script-macron-surrogate	In lexical-form candidates, OCR ä/ö/ü/O were normalized as ā/ō/ū/ō where no opaque Greek/script surrogate or embedded gloss was present.	11 Vgl. HEIDERMANNS 1993, 187: Hierher noch germ. *litön- in an. lita f. 'Fett'
144	66	pdf-page-144	*-dü-	*-dü-	*-dū-	*-dū-	medium-repaired-greek-nonlatin-pass7	repaired_latin_macron_surrogates	nonlatin_repaired	latin-script-macron-surrogate	In lexical-form candidates, OCR ä/ö/ü/O were normalized as ā/ō/ū/ō where no opaque Greek/script surrogate or embedded gloss was present.	3OWOU 614: *-di- < *-dü- < *-<fuhr ; Bildung vom Aoriststarnm. Anders LIV Anm. 1 mit Lit.:
144	66	pdf-page-144	*-ö-	*-ö-	*-ō-	*-ō-	medium-repaired-greek-nonlatin-pass7	repaired_latin_macron_surrogates	nonlatin_repaired	latin-script-macron-surrogate	In lexical-form candidates, OCR ä/ö/ü/O were normalized as ā/ō/ū/ō where no opaque Greek/script surrogate or embedded gloss was present.	38 Daneben mit *-ö- gr. *liom.- in Acoo(-qlpOlv, -geoc; PNn und gr. L1C1l'tw 'Geber' Name einer
145	67	pdf-page-145	*dötun	*dötun	*dōtun	*dōtun	medium-repaired-greek-nonlatin-pass7	repaired_latin_macron_surrogates	nonlatin_repaired	latin-script-macron-surrogate	In lexical-form candidates, OCR ä/ö/ü/O were normalized as ā/ō/ū/ō where no opaque Greek/script surrogate or embedded gloss was present.	45 VgI. PKEZ I 180. Apr. diton statt *dötun ASg. < *dehrtu-m nach STANG 41ft., 48 mit
146	68	pdf-page-146	*sudä-	*sudä-	*sudā-	*sudā-	medium-repaired-greek-nonlatin-pass7	repaired_latin_macron_surrogates	nonlatin_repaired	latin-script-macron-surrogate	In lexical-form candidates, OCR ä/ö/ü/O were normalized as ā/ō/ū/ō where no opaque Greek/script surrogate or embedded gloss was present.	Bedeutung 'guter Geber' handeln könnte. Allerdings wäre dann eher *sudä- zu erwarten, so
146	68	pdf-page-146	*-ä-	*-ä-	*-ā-	*-ā-	medium-repaired-greek-nonlatin-pass7	repaired_latin_macron_surrogates	nonlatin_repaired	latin-script-macron-surrogate	In lexical-form candidates, OCR ä/ö/ü/O were normalized as ā/ō/ū/ō where no opaque Greek/script surrogate or embedded gloss was present.	41ff., DERKSEN 1996, 163: mit *-ä-, das sowohl unbetontes *-ö. wie auch unbetontes *-ä- im
146	68	pdf-page-146	*-ö.	*-ö	*-ō	*-ō	medium-repaired-greek-nonlatin-pass7	repaired_latin_macron_surrogates	nonlatin_repaired	latin-script-macron-surrogate	In lexical-form candidates, OCR ä/ö/ü/O were normalized as ā/ō/ū/ō where no opaque Greek/script surrogate or embedded gloss was present.	41ff., DERKSEN 1996, 163: mit *-ä-, das sowohl unbetontes *-ö. wie auch unbetontes *-ä- im
146	68	pdf-page-146	*-ä-	*-ä-	*-ā-	*-ā-	medium-repaired-greek-nonlatin-pass7	repaired_latin_macron_surrogates	nonlatin_repaired	latin-script-macron-surrogate	In lexical-form candidates, OCR ä/ö/ü/O were normalized as ā/ō/ū/ō where no opaque Greek/script surrogate or embedded gloss was present.	41ff., DERKSEN 1996, 163: mit *-ä-, das sowohl unbetontes *-ö. wie auch unbetontes *-ä- im
152	74	pdf-page-152	*dej-än-	*dei̯-än-	*dei̯-ān-	*dei̯-ān-	medium-repaired-greek-nonlatin-pass7	repaired_latin_macron_surrogates	nonlatin_repaired	latin-script-macron-surrogate	In lexical-form candidates, OCR ä/ö/ü/O were normalized as ā/ō/ū/ō where no opaque Greek/script surrogate or embedded gloss was present.	Ein alternativer Ansatz wäre die Annahme eines Stamme auf NSg. *dej-än-, dazu mit
159	81	pdf-page-159	*-ön-	*-ön-	*-ōn-	*-ōn-	medium-repaired-greek-nonlatin-pass7	repaired_latin_macron_surrogates	nonlatin_repaired	latin-script-macron-surrogate	In lexical-form candidates, OCR ä/ö/ü/O were normalized as ā/ō/ū/ō where no opaque Greek/script surrogate or embedded gloss was present.	sierendes *-ön- aus semantischen Gründen nicht als Grundlage gedient haben könne. Er
159	81	pdf-page-159	*-ön-	*-ön-	*-ōn-	*-ōn-	medium-repaired-greek-nonlatin-pass7	repaired_latin_macron_surrogates	nonlatin_repaired	latin-script-macron-surrogate	In lexical-form candidates, OCR ä/ö/ü/O were normalized as ā/ō/ū/ō where no opaque Greek/script surrogate or embedded gloss was present.	versucht ein femininbildendes Suffix *-ön- zu etablieren, das ablautend auch in Ableitungen
159	81	pdf-page-159	*-äerweitert.	*-äerweitert	*-ā	*-ā	filtered-noise-fragment	trimmed_obvious_nonlexical_tail_for_lookup;marked_candidate_boundary_noise	greek_unresolved;still_unresolved;candidate_boundary_noise	candidate-boundary-noise-with-nonlatin	Candidate includes source prose or gloss captured as part of a form; lookup trimmed only where mechanically obvious.	bildenden Suffix *-äerweitert.
