normalized_form_id,normalized_form,search_key,language_normalized,script,form_types,occurrence_count,printed_pages,pdf_pages,glosses,source_patterns,quality_flags,contexts_sample
WATKINS-UFORM-IMP-00001,heeding not his word but that,heeding not his word but that,Akkadian,latin-script,attested_or_cited_form,1,371,388,"of his mother, the snake",form_plus_single_quote_gloss,,"tawny-eyed dragon slew in his sleep, a sign of the slaughter to come. ``` 1. There are older precedents. The dying king Hattusilis I disinherits his son for heeding not his word but that 'of his mother, the snake', annas-sas MUS[-os] HAB ii"
WATKINS-UFORM-IMP-00002,repeating ten lines later,repeating ten lines later,Akkadian,latin-script,attested_or_cited_form,1,371,388,his mother is a snake!,form_plus_single_quote_gloss,,"er precedents. The dying king Hattusilis I disinherits his son for heeding not his word but that 'of his mother, the snake', annas-sas MUS[-os] HAB ii 10 (Akkadian AMA-SU $A MUS), repeating ten lines later 'his mother is a snake!' annas-sis"
WATKINS-UFORM-IMP-00003,adding,adding,Armenian,latin-script,attested_or_cited_form,1,251,268,—beads on a string of course,form_plus_single_quote_gloss,,"', Hutter 27. 12. J.R. Russell (p.c.) ingeniously compares the old Armenian proverb quoted by Movses Xorenac'i (1.13) ulunk' Samiramay i cov 'the beads of Semiramis into the sea', adding '—beads on a string of course'. <!-- pdf-page: 269; p"
WATKINS-UFORM-IMP-00004,his epithet,his epithet,Armenian,latin-script,attested_or_cited_form,1,363,380,"from the earth, chthonic",form_plus_single_quote_gloss,,"sired... like a murderous giant... ``` ```text The name contains serpent', another inherited designation (*eghi-, Armenian iz 'serpent'); his epithet 'from the earth, chthonic' rhymes with 8 ``` 991-6 ```text Go, Justice... smiting through "
WATKINS-UFORM-IMP-00005,Samiramay i cov,samiramay i cov,Armenian,latin-script,attested_or_cited_form,1,251,268,the beads of Semiramis into the sea,form_plus_single_quote_gloss,,"U-as hultaramman) 'the ""unclean-sickness"" of the throat', Hutter 27. 12. J.R. Russell (p.c.) ingeniously compares the old Armenian proverb quoted by Movses Xorenac'i (1.13) ulunk' Samiramay i cov 'the beads of Semiramis into the sea', addin"
WATKINS-UFORM-IMP-00006,a simile the phrase arcui srafew,a simile the phrase arcui srafew,Avestan/Old Iranian,latin-script,attested_or_cited_form,1,170,187,sharp-winged eagle,form_plus_single_quote_gloss,,late Indo-European traditional epithet In one of the few fragments of pre-Christian Armenian oral epic poetry (the text is quoted in chap. 23.2) we find in a simile the phrase arcui srafew 'sharp-winged eagle'. In this group of noun and adj
WATKINS-UFORM-IMP-00007,Against the meaning,against the meaning,Avestan/Old Iranian,latin-script,attested_or_cited_form,1,118,135,"inspire, blow",form_plus_single_quote_gloss,,"note to that text ad loc., and the RIA Dict, under (incorrectly) ar-feid. The equation with the Indo-Iranian forms was first correctly seen by G. Klingenschmitt apud Tichy 1980. 5. Against the meaning 'inspire, blow' argued for by Thieme 19"
WATKINS-UFORM-IMP-00008,áhann áhim,ahann ahim,Avestan/Old Iranian,latin-script,attested_or_cited_form,1,,9,he slew the serpent,form_plus_single_quote_gloss,,"myth of the divine hero who slays the serpent recurs in the same linguistic form (derivatives of the IE root *gʷhen-, from Greek φόνος to English bane) in texts from the Rig Veda (áhann áhim 'he slew the serpent') through Old and Middle Ira"
WATKINS-UFORM-IMP-00009,and anhaus...siiaouana-,and anhaus...siiaouana,Avestan/Old Iranian,latin-script,attested_or_cited_form,1,191,208,actions of the world,form_plus_single_quote_gloss,,"ucture in a fashion reminiscent of 'garden path' sentences.4 Line 2 apparently conflates two Old Avestan formulas, vdnhaus siiaouana- mananho 'actions of good thought' (Y. 50.9:2) and anhaus...siiaouana- 'actions of the world' (Y.31.8:6). T"
WATKINS-UFORM-IMP-00010,and before. They include the Bundahišn,and before. they include the bundahisn,Avestan/Old Iranian,latin-script,attested_or_cited_form,1,58,75,primal creation,form_plus_single_quote_gloss,,"itions, both thematic and formulaic, especially the 'Pahlavi Books', written down in the 9th century but incorporating material from the religious writings of the 3rd century A.D. and before. They include the Bundahišn 'primal creation', a "
WATKINS-UFORM-IMP-00011,and dato.baesaza,and dato.baesaza,Avestan/Old Iranian,latin-script,attested_or_cited_form,1,538,555,who heals with law,form_plus_single_quote_gloss,,"based on an expanded version of the Avestan list of V. 7.44 found in Yt. 3.6 (to Asa vahista), which gives the types of healers, beginning with aso.baesaza 'who heals with truth' and dato.baesaza 'who heals with law', and then the three hea"
WATKINS-UFORM-IMP-00012,and in the Hittite hi-verb waki,and in the hittite hi-verb waki,Avestan/Old Iranian,latin-script,attested_or_cited_form,1,413,430,bites,form_plus_single_quote_gloss,,"γρος was the 'breaker' in Greek (ἄγνυμι).7 The root *uag otherwise not found in Indo-Iranian—recurs in Tocharian AB wak- 'split, open (intr.)', pres. B wokotar < *uag-o-,8 and in the Hittite hi-verb waki 'bites'. The weapon might have been "
WATKINS-UFORM-IMP-00013,and its derivative vimadaiia-,and its derivative vimadaiia,Avestan/Old Iranian,latin-script,attested_or_cited_form,1,538,555,treat,form_plus_single_quote_gloss,,"f ailments is intelligible on a symbolic level, but is neither perfect nor without controversy (Dunkel, to appear). Benveniste also noted the agreement of Avestan vimaS'physician' and its derivative vimadaiia- 'treat' with Latin mederl 'tre"
WATKINS-UFORM-IMP-00014,and kamnafsuua-,and kamnafsuua,Avestan/Old Iranian,latin-script,attested_or_cited_form,1,15,32,few cattle,form_plus_single_quote_gloss,,"nt of the Avestan pair pasu- 'cattle' and nar- 'man' as against pasu- and vira- in the same meaning. His restriction leads him to ignore the Old Avestan kamnanar- 'having few men' and kamnafsuua- 'few cattle' (Y.46.2), astutely discussed by"
