merged_term	old1_term	match_type	review_flag	PIE Root	PIE 0	BVS!	DW0 (Transposit)	DW0 (Actual)	DW1-F	DW1-B	DE	D2	pos	List(s)	narGloss	CIGBS	Sem.	narEty	narDer	narAttest	narDisc	narNomRoot	narNomDer	conRoot class	conRootUltimate	conDeriv	conEty:	conPlan:	PIE	PIt	PC	PGm	PBl	PSl	Gr.	EDB	AD	dedup_notes	intake_bucket	intake_reason	best_current_id	best_current_lemma	best_current_gloss	best_current_status	best_match_score	top_current_matches	parsed_new_terms	parsed_new_glosses	pos_coarse
-((i)t)amos	-((i)t)amos	dw0				FALSE	-((i)t)amos						?		superlative adjectival suffiɣ																								probable_new_entry	no_match							-itamos	superlative adjectival suffiɣ	
-(i)tā		old2_only		*-(i)teh₂		FALSE	*-(i)tā		-(i)tā																														probable_new_entry	no_match							-itā		
-āks		old2_only		*-eh₂-k-s		FALSE	-āks		-āks																														probable_new_entry	no_match							-āks		
-āsios	-āsios	dw0				FALSE	-āsios						?		Forms relational adjectives to nouns; neut. form			From EAD.							PIE														probable_new_entry	no_match							-āsios	forms relational adjectives to nouns; neut. form	
-ātos		old2_only		*-eh₂tos		FALSE	-ātos		-ātos						Creates denominative possessional or qualitiative adjectives.																								probable_new_entry	no_match							-ātos	creates denominative possessional; qualitiative adjectives	
-ðōts	-ðōts	gloss	REVIEW:gloss-match	*dʰéh₁-	*dʰóh₁-t-s	FALSE	-ðōts		-ðōts, -ðōts, -sōts	-ðōts, -ðōts, -sōts			n. c m/f.		de-nominal and de-adjectival agentive suffiɣ, ‘-doer’			From EAD.																				old-1 form was '-ðōts'	probable_new_entry	low_match	345	duzviros	ne'er-do-well, bumpkin; criminal, villain, evil-doer	canonical	1.37	345:duzviros:ne'er-do-well, bumpkin; criminal, villain, evil-doer (1.37)	-ðōts	de-nominal and de-adjectival agentive suffiɣ, -doer	noun
-ɣis	-ɣis	dw0				FALSE	-ɣis								‘-thrower, -slinger’			Since OD.																					probable_new_entry	no_match							-ɣis	-thrower, -slinger	
-īnos	-īnos	dw0		*-ihₓnos ~ *-ihₓnosi̯o		FALSE	-īnos																																probable_new_entry	no_match							-īnos		
-man, -mens	-man, -mens	dw0				FALSE	-man, -mens						?		Creates abstract nouns of concept or result from verbs.																								probable_new_entry	no_match							-man; -mens	creates abstract nouns of concept; result from verbs	
-mēn, -menes	-mēn, -menes	dw0				FALSE	-mēn, -menes						?		Creates agent nouns from verbs.																								probable_new_entry	no_match							-mēn; -menes	creates agent nouns from verbs	
-ments		old2_only				FALSE	-ments		-ments						‘-minded’				ðubraments ‘deep-minded, thoughtful’																				probable_new_entry	no_match							-ments	-minded	
-mō, -monam, -(m)nes	-mō, -monam, -(m)nes	dw0				FALSE	-mō, -monam, -(m)nes						?		Creates agent nouns from verbs.			From EAD.																					probable_new_entry	no_match							-mō; -monam; -mnes	creates agent nouns from verbs	
-ōks	-ōks	dw0				FALSE	-ōks						?																										probable_new_entry	no_match							-ōks		
-tā	-tā	old1_only	REVIEW:old1-only										n. a f.																										probable_new_entry	no_match							-tā		noun
