normalized_occurrence_id	printed_page	pdf_page	old_form_raw	old_normalized_form	new_normalized_form	old_search_key	new_search_key	old_quality_flags	new_quality_flags	include_in_unique	resolution_action	note	context
WATKINS-NFORM-00006	320	337	...					empty-or-ellipsis		false	excluded-ellipsis-or-ocr-dropout	Ellipsis/dropout is not a lexical form.	and Renou 1934:34-5, 69, 73, and Gcrshevitch 1959:219. 16. The interpretation of stija is controversial. For discussion see Kellens 1974:84. 17. Cf. Watkins 1990:52-5, and Hektor;... 'pillar of Troy' in the preceding chapter. ## 30. The root *gʷhen-: Hittite kuen- and the Indo-European theme and formula <!-- pdf-page: 338; printed-page: 321 --> The root *gʷhen-: Hittite kuen- and the Indo-E
WATKINS-NFORM-00827	288	305	...					empty-or-ellipsis		false	excluded-ellipsis-or-ocr-dropout	Ellipsis/dropout is not a lexical form.	, Hittite DKASKAL.KUR 'divine land way', indicating an entrance to the underworld (David Hawkins). See the references in chapters 40 and 46. 17. Cf. Alcman 89P. 'sleep'... 'sleep'... and Pfeiffer 1959. 18. Otten 1958, a systematic edition of the Hittite ritual texts of the sallis wastais, the 'Great Wrong' which is the death of the king or queen. The standard expression for t
WATKINS-NFORM-01282	371	388	*.......	*	*			probable-fragment		false	excluded-ocr-or-regex-fragment	Too short/garbled to use as a form row without page-image collation.	ntifiable. The Indo-European formula has two members, but this version of the formula in Greek has three. Let there be no doubt about the etymological figure...... from underlying *....... Pindar says of Orestes in Pyth. 11. 36-7: ```text and with late-visited Ares slew his mother, and laid Aigisthos low in his blood ``` ```text Here again we have an etymological fi
WATKINS-NFORM-01283	389	406	*-	*-	*-ō		o	probable-fragment		true	corrected-empty-ending-marker-to-long-o-ending	Context discusses thematic instrumental/ablative *-ō.	een originally used without preposition, as in cognate languages in the second millennium B.C. The thematic instrumental in *-o probably first merged with the thematic ablative in *- (*-od), obligatorily by the time of the loss of final stops in pre-Greek. The new instrumental-ablative case in *- might have been used with the preposition hupo to express the agent of a passive, and our reconstructe
WATKINS-NFORM-01284	389	406	*-	*-	*-			probable-fragment		false	excluded-ocr-or-regex-fragment	Too short/garbled to use as a form row without page-image collation.	ental in *-o probably first merged with the thematic ablative in *- (*-od), obligatorily by the time of the loss of final stops in pre-Greek. The new instrumental-ablative case in *- might have been used with the preposition hupo to express the agent of a passive, and our reconstructed half-line could equally well reflect that stage.11 9. Cf. for the classic discussion of the issues Chantraine 197
WATKINS-NFORM-01285	411	428	*(-	*(-	*(-	(	(	probable-fragment		false	excluded-ocr-or-regex-fragment	Too short/garbled to use as a form row without page-image collation.	ed by a lost f. If a line or hemistich-final *(Μελε-)ϝαγρος (v v) — # is responsible for the lengthening in *,*,* - # then the link must be semantic, and therefore *(-); must have been perceived as containing - 'break'. If so, then either *(-) forms an equation with Vedic vajrah/ Avestan vazro 'WEAPON' or is wholly independent. In view of the clear associat
WATKINS-NFORM-01286	411	428	*(-	*(-	*(-	(	(	probable-fragment		false	excluded-ocr-or-regex-fragment	Too short/garbled to use as a form row without page-image collation.	the lengthening in *,*,* - # then the link must be semantic, and therefore *(-); must have been perceived as containing - 'break'. If so, then either *(-) forms an equation with Vedic vajrah/ Avestan vazro 'WEAPON' or is wholly independent. In view of the clear association of the Greek root - with the WEAPON in these contexts, variants of
WATKINS-NFORM-01287	411	428	*(-	*(-	*(-	(	(	probable-fragment		false	excluded-ocr-or-regex-fragment	Too short/garbled to use as a form row without page-image collation.	association of the Greek root - with the WEAPON in these contexts, variants of the basic formula (, ), and in view of the formal identity of Greek *(-) and Indo-Iranian * ras 'WEAPON', we are led to conclude—as the simplest hypothesis to account for the facts—that Greek *(-) meant 'WEAPON', and made a word equation with the Indic a
WATKINS-NFORM-01288	411	428	*(-	*(-	*(-	(	(	probable-fragment		false	excluded-ocr-or-regex-fragment	Too short/garbled to use as a form row without page-image collation.	view of the formal identity of Greek *(-) and Indo-Iranian * ras 'WEAPON', we are led to conclude—as the simplest hypothesis to account for the facts—that Greek *(-) meant 'WEAPON', and made a word equation with the Indic and Iranian forms. The metrical evidence indicates that the original locus of the root - in the Greek version of the b
WATKINS-NFORM-01289	413	430	*(-	*(-	*(-	(	(	probable-fragment		false	excluded-ocr-or-regex-fragment	Too short/garbled to use as a form row without page-image collation.	ot account for the hiatus. 6. Referred to by permission, for which I am grateful. ``` <!-- pdf-page: 430; printed-page: 413 --> ```text Etymologically the WEAPON *(-)ϝαγρος was the 'breaker' in Greek (ἄγνυμι).7 The root *uag otherwise not found in Indo-Iranian—recurs in Tocharian AB wak- 'split, open (intr.)', pres. B wokotar < *uag-o-,8 and in the Hittite hi-verb waki 'b
WATKINS-NFORM-01295	64	81	*-6	*-6	*-ō	6	o	probable-fragment		true	corrected-ocr-six-to-long-o-ending	Context states *-ō > *-u; OCR had 6 for ō.	"ce-final position corresponds to an Old Irish conjunct, as in the cognate -ciu < *k""is-iu. If the -ss- is real we must have a future morpheme -sje/o-. The Isg. ending -umi is from *-6 > *-u plus later -mi, like Vedic -ami. It corresponds to Welsh -(/(historically conjunct), e.g. kenif < *kanu + mi 'I sing'. For exsops see Watkins 1983. <!-- pdf-page: 82; printed-page: 65 --> respectively J.Harris"
WATKINS-NFORM-01297	535	552	*a.	*a	*a	a	a	probable-fragment		false	excluded-low-value-grade-marker	Single vowel grade marker, not a useful lexical/form row.	rian languages as well. Tocharian B mrestlwe 'marrow' shows a form transposed from *mestr-, IE *most-r-; it is the only form which shows the IE vocalism is unambigu- ously *o, not *a. Tocharian A massunt is probably palatalized from mast-; the a must be secondary. In view of the symbolic autofellatio of Finn's gnawing his thumb to the mar- row, we might even propose seeing the same metathesi
