display_form,count,first_page,sample_context
*(H)(a)uić-,2,19,"*hₐewis [135:166]):? Yazg. wis, Taj. Wj. gis ‘oats’ < PIIr.? *(H)(a)uić-; Lith. aviža f. ‘id.’,"
*(H)iau(H)a-Hart-,1,7,evidence for a reconstruction *(H)iau(H)a-Hart- ‘milled grain’ [21:54; 67:22].
*(H)ieu(H)-,3,12,*(H)ieu(H)- (*i̯eu̯o- [44:512]; *i̯éu̯os ~ *i̯éu̯om ‘grain (particularly barley?)’ [18:236]; *yewH₁
*(H)ieu(H)-ieh₂-.,1,12,tive?) formation *(H)ieu(H)-ieh₂-. The previously included ToB yap < PTo. *yəp- [18:236;
*(H)ieu(H)-o-.,1,12,"Anatolian, Indo-Iranian and Baltic share a common formation *(H)ieu(H)-o-. Hittite also"
*(H)i̯au̯,1,12,"Oss. jæw ‘millet’ < PIIr. *(H)i̯au̯ (H)a-; Gk. zειαί f.pl. ‘one-sided wheat, spelt’ < PGk."
*(H)i̯eu̯,1,12,"ridge’ < PAn. *(H)i̯eu̯ a-; Skt. yáva- m. ‘grain, corn, crop, barley’, YAv. yauua- m. ‘grain’,"
*(H)leis-,1,24,"This is an eh₂-stem derived from an obscure root *(H)leis- [82:209], probably with an origi-"
*(H)liH-s-.,1,24,"likely, but the acute intonation is problematic in that it at face value points to *(H)liH-s-."
*(H)lois-eh2-,1,29,*(H)lois-eh2-
*(H)lois-eh₂-,1,24,"*(H)lois-eh₂- (*loisā ‘Furche’ [44:671]): OCS lěxa f. ‘row’, Ru. dial. lexá, léxa f. ‘furrow, bed’,"
*(a)widz-,1,19,"the pre-forms of the various branches can be reconstructed with affricates, viz. *(a)widz- for"
*(s)ku̯eh₁t-,1,24,alternative reconstruction of the root as a root *(s)ku̯eh₁t- [82:563] can only be reconciled with
*(t)p(e)uH-o-,1,21,"πτέον n. ‘winnowing-shovel, fan’, as if from *(t)p(e)uH-o-, the initial cluster is not a regular"
*(ḱ)eh₂p-o/eh₂-,1,14,"*(ḱ)eh₂p-o/eh₂- (*kāp-, *kəp- ‘Stu¨ck Land, Grundstu¨ck’ [44:529]; *^kāpos ~ ^kāpéha (or"
*(ḱk)eh2p-o/eh2-,1,29,*(ḱk)eh2p-o/eh2-
*(ḱk)eh₂p-,1,14,‘vegetation’. Since the Iranian variant with *ă is formally incompatible with the root of *(ḱk)eh₂p-
*(ḱk)eh₂p-o/eh₂-,1,14,"A formation *(ḱk)eh₂p-o/eh₂- can be reconstructed on the basis of Germanic, Greek and Alba-"
*),1,9,"8]; *h₂ed- ‘± grain’ [10]): Arm. hat ‘grain’ < *h₂ed-o(s)-; Go. atisk(s*) ‘grainfield’, OHG"
**farfio,1,5,"resulted in **farfio, with -rf- from secondary *-rs- [46:113]. More fatally, the required root"
**frās-.,1,5,**frās-.
**prekse,1,21,would rather develop into **prekse [56:259–60]. The alternative connection of the Balto-Slavic
*-d-,1,7,tion hinges on the assumption of either a root extension *-d- in core Indo-European [74:63–5]
*-dn-,1,19,"if from *ǵʰrud-(i)neh₂- [20], cannot be accepted, as a nasal resulting from *-dn- does not rhota-"
*-dʰleh₂,1,26,*-dʰleh₂ > *-θλη that was dissimilated to -τλη following a voiced aspirate in the stem. How-
*-dʰlo/eh₂,1,26,"ever, it is likely that both *-dʰlo/eh₂ and *-tlo/eh₂ merged into *-ðl in a Common Brittonic"
*-eg-,1,5,the formation into a root *bar- < *bʰar- and an otherwise obscure velar suffix *-eg- [44:108–9;
*-ejo-,1,7,"a collective. Lat. hordeum also appears to be a collective formation, but the suffix *-ejo- is iso-"
*-ens,1,12,"and OIr. arbor, gen. -e n. ‘grain’ < PC *aru̯ar, *-ens (not with Witczak [19:82] from *H₂érgʷhr̥"
*-es-,2,5,"ing that PIt. *far-os, *-es- < *bʰr̥H-os, *-es-, with the zero grade of a laryngealic root and regu-"
*-es-neh₂-,1,27,"‘awl’ and segansa f. ‘scythe’, whose suffixes appear to have metathesized from *-es-neh₂- [209:29]."
*-eśta-,1,14,"*-eśta- was added (cf. vresht m. ‘vinyard’ < PAlb. *wain-eśta-). Except for in Cypriote, a rather"
*-h₂.,1,16,"rather point to an extension with a collective suffix *-h₂. Lat. pulvis, -eris, with analogical *-is-"
*-i(a)-Adjektive,1,42,"tischen *-i(a)-Adjektive und zur Etymologie von fi. kallis ‘teuer; lieb’, urgerm. *χalđiz ‘eher; lieber’ und"
*-iHo-,1,21,"*pyrьjь, derived with a suffix *-iHo-, exists in Slavic, cf. Ru. pyréj, Pol. perz m. ‘couch grass’."
*-indā,1,23,Armenian suffix -ean cannot be equated with the Irish suffix -enn < PC *-innā ~ *-indā
*-innā,1,23,Armenian suffix -ean cannot be equated with the Irish suffix -enn < PC *-innā ~ *-indā
*-is-,1,16,"rather point to an extension with a collective suffix *-h₂. Lat. pulvis, -eris, with analogical *-is-"
*-iska-,1,9,"rather continues an adjective in *-iska- [92:188], perhaps in elliptic use, e.g. *atiskaz akraz"
*-it-,1,11,"‘white’, with the suffix *-it- as found in PIE *mel-it- ‘honey’ [121:136–9] and perhaps in the"
*-kr-,1,20,"alternation between *-rk- and *-kr-, but it is also possible that an inherited protoform *kork-"
*-kwe,1,40,"Watkins C. Indo-European *-kwe ‘and’ in Hittite. In: O¨ lberg HM, editor. Sprachwissenschaftliche For-"
*-mn-,1,27,"nally contained *-mn- and were reduced differently [180:491]. Concerning the Baltic evidence,"
*-nis-,1,26,"The original suffixation appears to have been *-nis-, as this might be the common denomina-"
*-nixto-,1,25,"< PGm. *naikō-; MIr. cruth-necht f. ‘wheat’, MW gwenith ‘id.’ < PC *-nixto-"
*-nu-,1,8,"protoform in which the suffix *-u̯n- was metathesized to *-nu-, a development which may be"
*-rd-.,1,8,or *-rd-.
*-rk-,1,20,"alternation between *-rk- and *-kr-, but it is also possible that an inherited protoform *kork-"
*-rn-,1,8,"is the regular outcome of *-rn-, although waṛə́i ‘wool’ < *HurH-na- and esp. the variation of"
*-rs-,1,5,"resulted in **farfio, with -rf- from secondary *-rs- [46:113]. More fatally, the required root"
*-rt-,1,8,some support for an additional (conditioned?) outcome -ṛ-. Psht. -ṛ- usually continues *-rt-
*-ru-,1,8,compared with the regular metathesis *-u̯r- > *-ru- between consonants [86:260; 87:161–2]. It
*-sh₁-.,1,17,"laryngeal, in view of the lack of expected geminate -šš- < *-sh₁-. For this reason, the alternative"
*-tleh₂,2,26,"The W ending -ddel for PIE *-tleh₂ is unexpected: the regular outcome of *-tleh₂ is W -dl,"
*-tleh₂.,1,26,stage [51:363]. Thus the most parsimonious reconstruction is *-tleh₂.
*-tlo/eh₂,1,26,"ever, it is likely that both *-dʰlo/eh₂ and *-tlo/eh₂ merged into *-ðl in a Common Brittonic"
*-u̯n-,1,8,"protoform in which the suffix *-u̯n- was metathesized to *-nu-, a development which may be"
*-u̯r-,1,8,compared with the regular metathesis *-u̯r- > *-ru- between consonants [86:260; 87:161–2]. It
*-äg,1,22,"fix *-äg, these have been adduced to substantiate a Proto-Iranian form *ruǰaka- or *ruǰika-"
*-ðl,1,26,"ever, it is likely that both *-dʰlo/eh₂ and *-tlo/eh₂ merged into *-ðl in a Common Brittonic"
*-čī-,1,14,"*j́ʰami-čī-, the productive suffix *-čī- appears to have been added to a base *ćāpa- [145:74], after"
*-ŕ̥u̯-,1,6,been reconstructed as *dr-uaH- under the assumption of a change *-ŕ̥u̯- > *-ū́ru̯- [53:149 fn.
*-ū́ru̯-,1,6,been reconstructed as *dr-uaH- under the assumption of a change *-ŕ̥u̯- > *-ū́ru̯- [53:149 fn.
*-ǵʰs-,1,15,"*miǵʰ-so- [93:129]. Unfortunately, the implied cluster *-ǵʰs- > PIr. *j́ʰž > *ž does not regularly"
*-θλη,1,26,*-dʰleh₂ > *-θλη that was dissimilated to -τλη following a voiced aspirate in the stem. How-
*CRCC-,1,17,"regular vocalization of *CRCC- to *CarCC- [46], and in OHG sarf, MHG sarpf, MDu. sarp,"
*CRHUV.,1,39,"Lubotsky A. The Indo-Iranian reflexes of PIE *CRHUV. In: Lubotsky A, editor. Sound law and analogy"
*CarCC-,1,17,"regular vocalization of *CRCC- to *CarCC- [46], and in OHG sarf, MHG sarpf, MDu. sarp,"
*Ha(H)ira-,1,10,"269], but remains a possibility through a protoform PIIr. *Ha(H)ira- < PIE *h₂e(-h₂)i-ro-"
*Haj́ra-,1,19,"‘plain’ < PIIr. *Haj́ra-; Gk. ἀγρόB m. ‘field, land, countryside’; Go. akrs, ON akr, OE æcer,"
*Harj́(ʰ)ana-,1,19,"*Harj́(ʰ)ana- [18:237; 81:29]. However, due to the formal ambiguities of both the Hittite and"
*Harj́(ʰ)ana-(?),1,19,"ğdən ‘id.’, Yd. yurzun, Wakh. yirzn < PIIr. *Harj́(ʰ)ana-(?)"
*Hau(V)j́-,1,20,"from PIIr. *Hau(V)ć- or *Hau(V)j́- [67:497], despite other proposals [80:95; 93:220], and Yazg."
*Hau(V)ć-,1,20,"from PIIr. *Hau(V)ć- or *Hau(V)j́- [67:497], despite other proposals [80:95; 93:220], and Yazg."
*Hauić-,1,20,protoform *Hauić- has its closest match in Pre-PSl. *awiś-.
