pdf_page	printed_page	page_anchor	source_candidate_pdf_text	normalized_candidate_pass6	normalized_candidate_pass7	lookup_candidate_pass7	confidence_pass7	repair_actions_pass7	issue_bucket_pass7	greek_nonlatin_class_pass7	pass7_note	context_line_pdf_text
79	1	pdf-page-079	*ä	*ä	*ā	*ā	medium-repaired-greek-nonlatin-pass7	repaired_latin_macron_surrogates	nonlatin_repaired	latin-script-macron-surrogate	In lexical-form candidates, OCR ä/ö/ü/O were normalized as ā/ō/ū/ō where no opaque Greek/script surrogate or embedded gloss was present.	*ä als DS zu grundstufigern *a rechnen will. Zu 'Buche' s. eigenen Ansatz *bbah2/f{0-).
79	1	pdf-page-079	*qxx~)	*qxx~)	*φακτῆρες	*φακτῆρες	high-image-collated	image_collated_greek_line_repair	image_collated;greek_repaired	greek-script-image-collated	Visible page line reads “*φακτῆρες”; previous OCR produced *qxx~).	(MY Ue 611.3, *qxx~); s. DMic. s.v. für alternative Vorschläge.
80	2	pdf-page-080	*bOk-ö-	*bOk-ö-	*bōk-ō-	*bōk-ō-	medium-repaired-greek-nonlatin-pass7	repaired_latin_macron_surrogates	nonlatin_repaired	latin-script-macron-surrogate	In lexical-form candidates, OCR ä/ö/ü/O were normalized as ā/ō/ū/ō where no opaque Greek/script surrogate or embedded gloss was present.	[germ. *bOk-ö- f. in got. boka 'Buchstabe', PI. 'Schrift(stück),
81	3	pdf-page-081	*bök-	*bök-	*bōk-	*bōk-	medium-repaired-greek-nonlatin-pass7	repaired_latin_macron_surrogates	nonlatin_repaired	latin-script-macron-surrogate	In lexical-form candidates, OCR ä/ö/ü/O were normalized as ā/ō/ū/ō where no opaque Greek/script surrogate or embedded gloss was present.	448). Wenn diese Erklärung zutrifft, wäre germ. *bök- ebenso wie germ. *bök-ö- (s.u.) viel-
81	3	pdf-page-081	*bök-ö-	*bök-ö-	*bōk-ō-	*bōk-ō-	medium-repaired-greek-nonlatin-pass7	repaired_latin_macron_surrogates	nonlatin_repaired	latin-script-macron-surrogate	In lexical-form candidates, OCR ä/ö/ü/O were normalized as ā/ō/ū/ō where no opaque Greek/script surrogate or embedded gloss was present.	448). Wenn diese Erklärung zutrifft, wäre germ. *bök- ebenso wie germ. *bök-ö- (s.u.) viel-
83	5	pdf-page-083	*barzdä	*barzdä	*barzdā	*barzdā	medium-repaired-greek-nonlatin-pass7	repaired_latin_macron_surrogates	nonlatin_repaired	latin-script-macron-surrogate	In lexical-form candidates, OCR ä/ö/ü/O were normalized as ā/ō/ū/ō where no opaque Greek/script surrogate or embedded gloss was present.	Kontamination mit einem im Balt. nicht belegten Wort für 'Furche' (balt. *barzdä = slav.
84	6	pdf-page-084	*baidäwurde	*baidäwurde	*baidā	*baidā	filtered-noise-fragment	trimmed_obvious_nonlexical_tail_for_lookup;marked_candidate_boundary_noise	greek_unresolved;still_unresolved;candidate_boundary_noise	candidate-boundary-noise-with-nonlatin	Candidate includes source prose or gloss captured as part of a form; lookup trimmed only where mechanically obvious.	*baidäwurde im Dialekt des Autors des Elbinger Vokabulars zum u-8tamm umgestaltet. Vgl.
85	7	pdf-page-085	*-bhäiin	*-bhäiin	*-bhāiin	*-bhāiin	medium-repaired-greek-nonlatin-pass7	repaired_latin_macron_surrogates	nonlatin_repaired	latin-script-macron-surrogate	In lexical-form candidates, OCR ä/ö/ü/O were normalized as ā/ō/ū/ō where no opaque Greek/script surrogate or embedded gloss was present.	germ. DSg. *-bhäiin got. ibai'doch nicht etwa, daß nicht' usw.7
85	7	pdf-page-085	*-löä-z.B.	*-löä-z.B	*-lōā-	*-lōā-	filtered-noise-fragment	trimmed_obvious_nonlexical_tail_for_lookup;marked_candidate_boundary_noise	greek_unresolved;still_unresolved;candidate_boundary_noise	candidate-boundary-noise-with-nonlatin	Candidate includes source prose or gloss captured as part of a form; lookup trimmed only where mechanically obvious.	?[balt. Suffix *-löä-z.B. in lit. dBJjbaf. (1) 'Bildung',lett.akIiba
86	8	pdf-page-086	*-abäund	*-abäund	*-abāund	*-abāund	medium-repaired-greek-nonlatin-pass7	repaired_latin_macron_surrogates	nonlatin_repaired	latin-script-macron-surrogate	In lexical-form candidates, OCR ä/ö/ü/O were normalized as ā/ō/ū/ō where no opaque Greek/script surrogate or embedded gloss was present.	3 Vokalisch erweiterte Suffixe *-abäund '-iMwie im Balt. und Slav. nimmt OREL 2000,152 in
90	12	pdf-page-090	*baidö-	*baidö-	*baidō-	*baidō-	medium-repaired-greek-nonlatin-pass7	repaired_latin_macron_surrogates	nonlatin_repaired	latin-script-macron-surrogate	In lexical-form candidates, OCR ä/ö/ü/O were normalized as ā/ō/ū/ō where no opaque Greek/script surrogate or embedded gloss was present.	germ. *baidö- f. in ae. Md f. ä 'Pfand; Erwartung', [ahd. bila f.
91	13	pdf-page-091	*bbeh/db..'bedrängen'	*bʰeh/dʰ..’bedrängen’	*bbeh/db	*bbeh/db	filtered-noise-fragment	trimmed_obvious_nonlexical_tail_for_lookup;marked_candidate_boundary_noise	greek_unresolved;still_unresolved;candidate_boundary_noise	candidate-boundary-noise-with-nonlatin	Candidate includes source prose or gloss captured as part of a form; lookup trimmed only where mechanically obvious.	bedti 'Not, Kummer' zu *bbeh/db..'bedrängen' zu stellen.
95	17	pdf-page-095	*b~rö-	*b~rö-	*b~rö-	*b~rö-	low-greek-or-nonlatin-surrogate	kept_unresolved_opaque_script_surrogate	greek_unresolved;still_unresolved;greek_or_script_surrogate_still_unresolved	greek-or-opaque-script-surrogate	Contains OCR surrogate characters for Greek or custom-font notation; left unresolved rather than guessed.	germ. *b~rö- f. '(Toten)Bahre, Sänfte' in ahd. bära, ae. b~r, aso
96	18	pdf-page-096	*-bbr-noßI	*-bʰr-noßI	*-bʰr-noßI	*-bʰr-noßI	low-greek-or-nonlatin-surrogate	kept_unresolved_nonlatin_other	greek_unresolved;still_unresolved;nonlatin_still_unresolved	nonlatin-unresolved-other	No safe mechanical repair rule applied.	*-bbr-noßI
96	18	pdf-page-096	*bBrÖ-f.	*bBrÖ-f	*bBrÖ-f	*bBrÖ-f	low-greek-or-nonlatin-surrogate	kept_unresolved_nonlatin_other	greek_unresolved;still_unresolved;nonlatin_still_unresolved	nonlatin-unresolved-other	No safe mechanical repair rule applied.	germ. *bBrÖ-f. in an. bararf. (PI. tant.) '(Toten)bahre'
101	23	pdf-page-101	*burjJIdin-jä-	*burjJIdin-jä-	*burjJIdin-jä-	*burjJIdin-jä-	low-greek-or-nonlatin-surrogate	kept_unresolved_opaque_script_surrogate	greek_unresolved;still_unresolved;greek_or_script_surrogate_still_unresolved	greek-or-opaque-script-surrogate	Contains OCR surrogate characters for Greek or custom-font notation; left unresolved rather than guessed.	dem ae. byrpen, byrden f. 'Bürde' < germ. *burjJIdin-jä- heranzieht, postuliert auch in dieser
102	24	pdf-page-102	*cpqmX	*cpqmX	*cpqmX	*cpqmX	low-greek-or-nonlatin-surrogate	kept_unresolved_opaque_script_surrogate	greek_unresolved;still_unresolved;greek_or_script_surrogate_still_unresolved	greek-or-opaque-script-surrogate	Contains OCR surrogate characters for Greek or custom-font notation; left unresolved rather than guessed.	eingeschleppt; anden; DELG 1190: für *cpqmX; durch progressive Assimilation.
102	24	pdf-page-102	*berija/ontiwürde	*berija/ontiwürde	*berija/ontiwūrde	*berija/ontiwūrde	medium-repaired-greek-nonlatin-pass7	repaired_latin_macron_surrogates	nonlatin_repaired	latin-script-macron-surrogate	In lexical-form candidates, OCR ä/ö/ü/O were normalized as ā/ō/ū/ō where no opaque Greek/script surrogate or embedded gloss was present.	sultierende *berija/ontiwürde sowohl die Hebung des Wunelvokals als auch die scheinbare
104	26	pdf-page-104	*bar-ö-gestellt	*bar-ö-gestellt	*bar-ō-	*bar-ō-	filtered-noise-fragment	trimmed_obvious_nonlexical_tail_for_lookup;marked_candidate_boundary_noise	greek_unresolved;still_unresolved;candidate_boundary_noise	candidate-boundary-noise-with-nonlatin	Candidate includes source prose or gloss captured as part of a form; lookup trimmed only where mechanically obvious.	zu *bborahr > germ. *bar-ö-gestellt werden könnte.
104	26	pdf-page-104	*däfl~.	*däfl~	*däfl~	*däfl~	low-greek-or-nonlatin-surrogate	kept_unresolved_opaque_script_surrogate	greek_unresolved;still_unresolved;greek_or_script_surrogate_still_unresolved	greek-or-opaque-script-surrogate	Contains OCR surrogate characters for Greek or custom-font notation; left unresolved rather than guessed.	68 Entspr. *däfl~.
105	27	pdf-page-105	*bber-äs	*bʰer-äs	*bʰer-ās	*bʰer-ās	medium-repaired-greek-nonlatin-pass7	repaired_latin_macron_surrogates	nonlatin_repaired	latin-script-macron-surrogate	In lexical-form candidates, OCR ä/ö/ü/O were normalized as ā/ō/ū/ō where no opaque Greek/script surrogate or embedded gloss was present.	IEW 130, ABO 26); *bber-po- (HAMP, BSL 66 (1971), 220); *bber-äs, belebter s-Stamm
109	31	pdf-page-109	*bbrgb_pöt-	*bʰrgʰ_pöt-	*bʰrgʰ_pōt-	*bʰrgʰ_pōt-	medium-repaired-greek-nonlatin-pass7	repaired_latin_macron_surrogates	nonlatin_repaired	latin-script-macron-surrogate	In lexical-form candidates, OCR ä/ö/ü/O were normalized as ā/ō/ū/ō where no opaque Greek/script surrogate or embedded gloss was present.	*bbrgb_pöt-
111	33	pdf-page-111	*bardälla-	*bardälla-	*bardālla-	*bardālla-	medium-repaired-greek-nonlatin-pass7	repaired_latin_macron_surrogates	nonlatin_repaired	latin-script-macron-surrogate	In lexical-form candidates, OCR ä/ö/ü/O were normalized as ā/ō/ū/ō where no opaque Greek/script surrogate or embedded gloss was present.	13 Ein entsprechender. u-St. wird auch als Basis von npers. bälä 'Höhe' < *bardälla- angenom-
112	34	pdf-page-112	*ba.razmän-	*ba.razmän-	*ba.razmān-	*ba.razmān-	medium-repaired-greek-nonlatin-pass7	repaired_latin_macron_surrogates	nonlatin_repaired	latin-script-macron-surrogate	In lexical-form candidates, OCR ä/ö/ü/O were normalized as ā/ō/ū/ō where no opaque Greek/script surrogate or embedded gloss was present.	usvon dem mask. Kollekt. *ba.razmän- (s.o. Anm.l0).
112	34	pdf-page-112	*bbrgb..öt-	*bʰrgʰ..öt-	*bʰrgʰ..ōt-	*bʰrgʰ..ōt-	medium-repaired-greek-nonlatin-pass7	repaired_latin_macron_surrogates	nonlatin_repaired	latin-script-macron-surrogate	In lexical-form candidates, OCR ä/ö/ü/O were normalized as ā/ō/ū/ō where no opaque Greek/script surrogate or embedded gloss was present.	etwas anders DE BERNARDO STEMPEL, ZCP 49-50, 94ff.: *bbrgb..öt-; s. auch IRSLINGER 2002,
112	34	pdf-page-112	*-yöt-	*-yöt-	*-yōt-	*-yōt-	medium-repaired-greek-nonlatin-pass7	repaired_latin_macron_surrogates	nonlatin_repaired	latin-script-macron-surrogate	In lexical-form candidates, OCR ä/ö/ü/O were normalized as ā/ō/ū/ō where no opaque Greek/script surrogate or embedded gloss was present.	48f. Wenn *-yöt- anzusetzen ist, kann diese Form, wie auch die folgende, als Umbildung eines
113	35	pdf-page-113	*bbös-to-	*bʰös-to-	*bʰōs-to-	*bʰōs-to-	medium-repaired-greek-nonlatin-pass7	repaired_latin_macron_surrogates	nonlatin_repaired	latin-script-macron-surrogate	In lexical-form candidates, OCR ä/ö/ü/O were normalized as ā/ō/ū/ō where no opaque Greek/script surrogate or embedded gloss was present.	*bbös-to-
113	35	pdf-page-113	*-gbö	*-gʰö	*-gʰō	*-gʰō	medium-repaired-greek-nonlatin-pass7	repaired_latin_macron_surrogates	nonlatin_repaired	latin-script-macron-surrogate	In lexical-form candidates, OCR ä/ö/ü/O were normalized as ā/ō/ū/ō where no opaque Greek/script surrogate or embedded gloss was present.	(11.+) aufgefaßt werden, vgl. GEW 11 1141, DELG 1294f. Das Verb endet auf -Xeo < *-gbö
116	38	pdf-page-116	*bröpeJI	*bröpeJI	*bröpeJI	*bröpeJI	low-greek-or-nonlatin-surrogate	kept_unresolved_opaque_script_surrogate	greek_unresolved;still_unresolved;greek_or_script_surrogate_still_unresolved	greek-or-opaque-script-surrogate	Contains OCR surrogate characters for Greek or custom-font notation; left unresolved rather than guessed.	germ. *bröpeJI m. 'Bruder' in got. NASg. bropar, GSg. bropri2,
121	43	pdf-page-121	*bruw-än-	*bruw-än-	*bruw-ān-	*bruw-ān-	medium-repaired-greek-nonlatin-pass7	repaired_latin_macron_surrogates	nonlatin_repaired	latin-script-macron-surrogate	In lexical-form candidates, OCR ä/ö/ü/O were normalized as ā/ō/ū/ō where no opaque Greek/script surrogate or embedded gloss was present.	PENTROG könnte der Sg. an. bnin < germ. *bruw-än- Umbildung einer Dualform *bruw-ä
121	43	pdf-page-121	*bruw-ä	*bruw-ä	*bruw-ā	*bruw-ā	medium-repaired-greek-nonlatin-pass7	repaired_latin_macron_surrogates	nonlatin_repaired	latin-script-macron-surrogate	In lexical-form candidates, OCR ä/ö/ü/O were normalized as ā/ō/ū/ō where no opaque Greek/script surrogate or embedded gloss was present.	PENTROG könnte der Sg. an. bnin < germ. *bruw-än- Umbildung einer Dualform *bruw-ä
121	43	pdf-page-121	*brewö-	*brewö-	*brewō-	*brewō-	medium-repaired-greek-nonlatin-pass7	repaired_latin_macron_surrogates	nonlatin_repaired	latin-script-macron-surrogate	In lexical-form candidates, OCR ä/ö/ü/O were normalized as ā/ō/ū/ō where no opaque Greek/script surrogate or embedded gloss was present.	"Anm.41 schließt indessen eine alte Kontamination dieser Formen mit germ. *brewö- ""derived"
121	43	pdf-page-121	*bTÜ-	*bTÜ-	*bTÜ-	*bTÜ-	low-greek-or-nonlatin-surrogate	kept_unresolved_nonlatin_other	greek_unresolved;still_unresolved;nonlatin_still_unresolved	nonlatin-unresolved-other	No safe mechanical repair rule applied.	"from the noun stem *bTÜ- < -blJruH-, as if *brHu-"" nicht aus."
121	43	pdf-page-121	*bTÜ-t-os)	*bTÜ-t-os)	*bTÜ-t-os)	*bTÜ-t-os	low-greek-or-nonlatin-surrogate	kept_unresolved_nonlatin_other	greek_unresolved;still_unresolved;nonlatin_still_unresolved	nonlatin-unresolved-other	No safe mechanical repair rule applied.	ein vormaliges Paradigma bni, GSg. *broth (älter *bni-t-s, *bTÜ-t-os) führen könne. Hierher
122	44	pdf-page-122	*bbruH-ön-	*bʰruH-ön-	*bʰruH-ōn-	*bʰruH-ōn-	medium-repaired-greek-nonlatin-pass7	repaired_latin_macron_surrogates	nonlatin_repaired	latin-script-macron-surrogate	In lexical-form candidates, OCR ä/ö/ü/O were normalized as ā/ō/ū/ō where no opaque Greek/script surrogate or embedded gloss was present.	mehrdeutig. Nach DTB 374 liegt n-stämmiges *bbruH-ön- zugrunde, das sich genau mit an.
122	44	pdf-page-122	*<iIlPo\lfE~	*<iIlPo\lfE~	*<iIlPo\lfE~	*<iIlPo\lfE~	low-greek-or-nonlatin-surrogate	kept_unresolved_opaque_script_surrogate	greek_unresolved;still_unresolved;greek_or_script_surrogate_still_unresolved	greek-or-opaque-script-surrogate	Contains OCR surrogate characters for Greek or custom-font notation; left unresolved rather than guessed.	*<iIlPo\lfE~ erwogen, was
126	48	pdf-page-126	*büa-mJn.	*büa-mJn	*büa-mJn	*büa-mJn	low-greek-or-nonlatin-surrogate	kept_unresolved_opaque_script_surrogate	greek_unresolved;still_unresolved;greek_or_script_surrogate_still_unresolved	greek-or-opaque-script-surrogate	Contains OCR surrogate characters for Greek or custom-font notation; left unresolved rather than guessed.	germ. *büa-mJn. in an. b6n. 'Gehöft', as., ae bün. oder m.
126	48	pdf-page-126	*büra-m./n.	*büra-m./n	*būra-m./n	*būra-m./n	medium-repaired-greek-nonlatin-pass7	repaired_latin_macron_surrogates	nonlatin_repaired	latin-script-macron-surrogate	In lexical-form candidates, OCR ä/ö/ü/O were normalized as ā/ō/ū/ō where no opaque Greek/script surrogate or embedded gloss was present.	germ. *büra-m./n. 'kleines Haus' in an. brir'Kammer, Stube,
129	51	pdf-page-129	*-cpp.alo	*-cpp.alo	*-cpp.alo	*-cpp.alo	low-greek-or-nonlatin-surrogate	kept_unresolved_opaque_script_surrogate	greek_unresolved;still_unresolved;greek_or_script_surrogate_still_unresolved	greek-or-opaque-script-surrogate	Contains OCR surrogate characters for Greek or custom-font notation; left unresolved rather than guessed.	(ll.+) verglichen, das als *-cpp.alo; oder *-qnJaÄ.ol; zu interpretieren wäre, Lit. s. GEW 11
129	51	pdf-page-129	*-qnJaÄ.ol	*-qnJaÄ.ol	*-qnJaÄ.ol	*-qnJaÄ.ol	low-greek-or-nonlatin-surrogate	kept_unresolved_opaque_script_surrogate	greek_unresolved;still_unresolved;greek_or_script_surrogate_still_unresolved	greek-or-opaque-script-surrogate	Contains OCR surrogate characters for Greek or custom-font notation; left unresolved rather than guessed.	(ll.+) verglichen, das als *-cpp.alo; oder *-qnJaÄ.ol; zu interpretieren wäre, Lit. s. GEW 11
130	52	pdf-page-130	*bIlSIl-ijo-	*bIlSIl-ijo-	*bIlSIl-ijo-	*bIlSIl-ijo-	low-greek-or-nonlatin-surrogate	kept_unresolved_nonlatin_other	greek_unresolved;still_unresolved;nonlatin_still_unresolved	nonlatin-unresolved-other	No safe mechanical repair rule applied.	PEDERSEN, VKG 11443 Anm., 1 als *bIlSIl-ijo- statt *bboll-ijo- ebenfalls hierher stellt. Das
131	53	pdf-page-131	*cpu-rrptöv	*cpu-rrptöv	*cpu-rrptöv	*cpu-rrptöv	low-greek-or-nonlatin-surrogate	kept_unresolved_opaque_script_surrogate	greek_unresolved;still_unresolved;greek_or_script_surrogate_still_unresolved	greek-or-opaque-script-surrogate	Contains OCR surrogate characters for Greek or custom-font notation; left unresolved rather than guessed.	:!Ci Vgl. DMic. 1 174f., 179 mit Lit. Hierher noch myk. pu-te-rija Adj. f., falls *cpu-rrptöv, ASg.
131	53	pdf-page-131	*qrotTIÄlÖV	*qrotTIÄlÖV	*qrotTIÄlÖV	*qrotTIÄlÖV	low-greek-or-nonlatin-surrogate	kept_unresolved_opaque_script_surrogate	greek_unresolved;still_unresolved;greek_or_script_surrogate_still_unresolved	greek-or-opaque-script-surrogate	Contains OCR surrogate characters for Greek or custom-font notation; left unresolved rather than guessed.	*qrotTIÄlÖV, ASg. zu pu-te-rija, d.h. cp\mXÄtcX
131	53	pdf-page-131	*cpt1-.	*cpt1-	*cpt1-	*cpt1-	low-greek-or-nonlatin-surrogate	kept_unresolved_opaque_script_surrogate	greek_unresolved;still_unresolved;greek_or_script_surrogate_still_unresolved	greek-or-opaque-script-surrogate	Contains OCR surrogate characters for Greek or custom-font notation; left unresolved rather than guessed.	27 Wohl Neubildung, ausgehend von auch anderweitig belegtem *cpt1-.
