id	article_pages	pdf_pages	concept_group	concept_gloss	source_language_label	language_or_stage	form	form_class	reconstructed	gloss	role_in_article	relation_or_pathway	source_context	editorial_notes	form_audit_status	form_audit_notes	normalized_language_or_stage	language_family	branch_or_subgroup	attestation_status	semantic_domain	semantic_group_normalized	p_q_status	argument_category	argument_use	source_page_anchor	markdown_page_link	citation_label	form_anchor	group_sequence	search_key
bf-001	243	2	wolf	wolf	OIcel.	Old Icelandic	ulfr	lexical form	no	wolf	p-reflex example	Contrasted with OIcel. ylgr; Bennett treats f as < pre-Gmc. /p/.	Appears also in later parenthetical example.		verified	verified against page-image crop in targeted form-audit pass; no form-string correction required after v2 dataset	Old Icelandic	Indo-European	North Germanic	attested or source-cited	animal	wolf	p-form / p-reflex / p-analogue in Bennett’s main p/q discussion	wolf/fox p/q problem and contamination account	supporting cited form	p243	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p243	Bennett 1969:243	bennett-1969-bf-001	wolf-01	ulfr
bf-002	243	2	wolf	wolf / she-wolf	OIcel.	Old Icelandic	ylgr	lexical form	no	she-wolf	q-form counterpart	Contrasted with OIcel. ulfr; Bennett treats g as < IE /kʷ/.			verified	verified against page-image crop in targeted form-audit pass; no form-string correction required after v2 dataset	Old Icelandic	Indo-European	North Germanic	attested or source-cited	animal	wolf	q-form / expected q-reflex / retained labiovelar path in Bennett’s main p/q discussion	wolf/fox p/q problem and contamination account	comparison	p243	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p243	Bennett 1969:243	bennett-1969-bf-002	wolf-02	ylgr
bf-003	243	2	wolf	wolf	IE	Indo-European	*wl̥kʷos	lexical form	yes	wolf	labialization-theory input	IE *wl̥kʷos > pre-Gmc. *wl̥pos > PGmc. *wulfaz.	Syllabic l restored from page image.	reconstructed lexical form	verified	verified: source uses syllabic l notation, represented here as l̥	Indo-European	Indo-European	Proto-Indo-European / IE-level reconstruction	reconstructed	animal	wolf	q-form / expected q-reflex / retained labiovelar path in Bennett’s main p/q discussion	labialization theory example	supporting cited form	p243	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p243	Bennett 1969:243	bennett-1969-bf-003	wolf-03	*wlkwos
bf-004	243	2	wolf	wolf	pre-Gmc.	pre-Germanic	*wl̥pos	lexical form	yes	wolf	proposed p-form	IE *wl̥kʷos > pre-Gmc. *wl̥pos > PGmc. *wulfaz.	Syllabic l restored from page image.	reconstructed lexical form	verified	verified: source uses syllabic l notation, represented here as l̥	Pre-Germanic	Indo-European	Germanic	reconstructed	animal	wolf	p-form / p-reflex / p-analogue in Bennett’s main p/q discussion	labialization theory example	supporting cited form	p243	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p243	Bennett 1969:243	bennett-1969-bf-004	wolf-04	*wlpos
bf-005	243	2	wolf	wolf	PGmc.	Proto-Germanic	*wulfaz	lexical form	yes	wolf	proposed Germanic outcome	IE *wl̥kʷos > pre-Gmc. *wl̥pos > PGmc. *wulfaz.			verified	verified against page-image crop in targeted form-audit pass; no form-string correction required after v2 dataset	Proto-Germanic	Indo-European	Germanic	reconstructed	animal	wolf	p-form / p-reflex / p-analogue in Bennett’s main p/q discussion	labialization theory example	supporting cited form	p243	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p243	Bennett 1969:243	bennett-1969-bf-005	wolf-05	*wulfaz
bf-006	244	3	wolf	wolf	Lat.	Latin	lupus	lexical form	no	wolf	p-form in a q-language	Bennett compares Latin lupus with Germanic p-forms; possible Sabine borrowing or contamination.			verified	verified against page-image crop in targeted form-audit pass; no form-string correction required after v2 dataset	Latin	Indo-European	Italic	attested or source-cited	animal	wolf	p-form / p-reflex / p-analogue in Bennett’s main p/q discussion	Latin / non-Germanic comparison for p-forms outside native q-development	supporting cited form	p244	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p244	Bennett 1969:244	bennett-1969-bf-006	wolf-06	lupus
bf-007	244	3	wolf	wolf	Go.	Gothic	wulfs	lexical form	no	wolf	Germanic p-form	Cited parenthetically with Lat. lupus as a p-form appearing in a q-dialect context.			verified	verified against page-image crop in targeted form-audit pass; no form-string correction required after v2 dataset	Gothic	Indo-European	East Germanic	attested or source-cited	animal	wolf	p-form / p-reflex / p-analogue in Bennett’s main p/q discussion	Latin / non-Germanic comparison for p-forms outside native q-development	supporting cited form	p244	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p244	Bennett 1969:244	bennett-1969-bf-007	wolf-07	wulfs
bf-008	246	5	wolf	wolf	pre-Gmc.	pre-Germanic	*wl̥kʷ-	lexical form	yes	wolf	q-form in contamination account	Pre-Germanic forms for wolf and fox are given as respectively *wl̥kʷ- and *wl̥p-.	Stem/root-like form; syllabic l restored from page image.	reconstructed stem	verified	verified: source uses syllabic l notation, represented here as l̥	Pre-Germanic	Indo-European	Germanic	reconstructed stem or component	animal	wolf	q-form / expected q-reflex / retained labiovelar path in Bennett’s main p/q discussion	wolf/fox p/q problem and contamination account	contamination scenario	p246	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p246	Bennett 1969:246	bennett-1969-bf-008	wolf-08	*wlkw-
bf-009	246	5	fox	fox	pre-Gmc.	pre-Germanic	*wl̥p-	lexical form	yes	fox	p-form in contamination account	Pre-Germanic forms for wolf and fox are given as respectively *wl̥kʷ- and *wl̥p-.	Stem/root-like form; syllabic l restored from page image.	reconstructed stem	verified	verified: source uses syllabic l notation, represented here as l̥	Pre-Germanic	Indo-European	Germanic	reconstructed stem or component	animal	fox	p-form / p-reflex / p-analogue in Bennett’s main p/q discussion	wolf/fox p/q problem and contamination account	contamination scenario	p246	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p246	Bennett 1969:246	bennett-1969-bf-009	fox-01	*wlp-
bf-010	244	3	jackal/fox	jackal; fox	Skt.	Sanskrit	lopāśa-	lexical form	no	jackal, fox	possible contaminating form	Mentioned as a possible source of contamination with Lat. lupus.			verified	verified against page-image crop in targeted form-audit pass; no form-string correction required after v2 dataset	Sanskrit	Indo-European	Indo-Aryan	attested or source-cited	animal	jackal/fox	p-form / p-reflex / p-analogue in Bennett’s main p/q discussion	Latin / non-Germanic comparison for p-forms outside native q-development	contamination scenario	p244	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p244	Bennett 1969:244	bennett-1969-bf-010	jackal/fox-01	lopasa-
